site_numeric,site,slope_grades,upstream_area_grades,order_grades,distance_snapped_m
386,Borges2015_1412,0.005653382,597340.7,1,52.45462304
387,Congo River basin,1.04E-04,2045386112,6,177.1791199
388,Borges2015_1413,0.00443171,1588420.2,1,102.12385
389,Congo River basin,0,30696419328,9,689.2742128
390,Congo after rapid,2.22E-04,30760335360,9,167.8546129
391,Congo after rapid,2.22E-04,30760335360,9,166.8312154
392,Congo River basin,9.65E-04,17223686,3,900.8443954
393,Congo after rapid,2.22E-04,30760335360,9,306.6353797
394,Congo before rapid,0.008468052,52339020,4,667.3881535
395,Congo before rapid,0.008468052,52339020,4,745.9033856
396,Congo River basin,2.47E-04,3369329152,7,288.4350347
397,Congo River basin,0.002253619,638622.4,1,676.4966154
398,Djoue,0.008468052,52339020,4,43.94990928
399,Congo River basin,0,30696419328,9,589.3703848
400,Congo River basin,4.53E-04,354574720,5,116.4638136
401,Borges2015_469,8.67E-04,30707376128,9,290.9865588
402,Congo River basin,3.20E-05,3399640320,7,84.21830107
403,Borges2015_1411,0.00443171,1588420.2,1,20.2093981
404,Borges2015_1410,0.00443171,1588420.2,1,37.22138103
405,Congo River basin,3.64E-04,1263982720,6,74.99119016
406,Borges2015_1409,0.00443171,1588420.2,1,2353.960798
407,Congo River basin,0.001239992,39294208,4,63.67131469
408,Congo River basin,0.001239992,39294208,4,352.2801343
409,Borges2015_1405,0.002387539,1913298.5,2,2800.356014
410,Congo River basin,0.001332613,5478486,3,4.996018832
411,Borges2015_1406,0.004434646,602264.6,1,5350.436622
412,Congo River basin,0,30632065024,9,564.3133787
413,Congo River basin,3.63E-04,72966840,4,97.1067135
414,Borges2015_1408,0.002387539,1913298.5,2,2330.049554
415,Borges2015_1407,0.003055987,36052152,3,36.57251264
416,Congo River basin,4.35E-05,3837938176,7,237.6659325
417,Mbalui,0.002060222,378884.4,1,1010.776339
418,Djiri,6.72E-04,7304192.5,3,18.81243762
419,Congo River basin,0.002945005,1419947.4,2,674.9768902
421,Congo River basin,6.61E-04,10515766,3,49.26533669
423,Congo River basin,2.94E-04,3856795648,7,262.0252476
424,Congo River basin,1.11E-04,30626480128,9,310.1965782
426,Congo River basin,1.11E-04,30626480128,9,103.0891338
427,Congo River basin,1.11E-04,30626480128,9,62.90664231
428,Congo River basin,7.52E-04,27164274,3,200.5125577
429,Congo River basin,0.00143277,97952640,5,48.2221251
430,Congo River basin,0.00143277,97952640,5,8.93317408
431,Congo River basin,0.00143277,97952640,5,32.72798525
432,Congo River basin,0.00143277,97952640,5,4.114713948
437,Congo River basin,0,3892763136,7,360.1013209
439,Congo River basin,9.23E-06,30514079744,9,386.4560339
440,Congo River basin,9.23E-06,30514079744,9,25.96504635
443,Congo River basin,9.23E-06,30514079744,9,75.35075875
446,Congo River basin,0.005123456,6409739,2,4.942867012
449,Congo River basin,0.001333603,361979.1,1,58.38448172
450,Congo River basin,2.20E-04,74968952,4,50.05847428
451,Congo River basin,3.21E-04,3988375552,7,1478.955146
455,Congo River basin,0.004549684,14440655,3,19.06709426
456,Congo River basin,0.004549684,14440655,3,19.85260197
457,Congo River basin,0.004549684,14440655,3,68.38608565
461,Congo River basin,4.87E-04,4006315008,7,1495.897699
467,Congo River basin,0.001530013,2025652,2,364.3230544
475,Congo River basin,0,30453129216,9,144.8084071
476,Congo River basin,0,30453129216,9,183.5433883
477,Congo River basin,0,30453129216,9,27.8034802
481,Congo River basin,1.13E-04,1492853504,6,5.213064102
484,Congo River basin,0.002733997,1087473.1,2,11.52819521
485,Congo River basin,0.002263241,1217475.9,2,88.84587108
486,Congo River basin,0,4019957504,7,27.50228272
487,Borges2015_2059,0.002878835,6306215,3,7.94515593
488,Congo River basin,0.001186621,2275159.2,2,298.490721
489,Congo River basin,1.55E-04,801528832,6,8.119548275
491,Congo River basin,1.57E-04,4029992960,7,34.13584067
492,Congo River basin,0.001311466,1093898.8,1,23.71562429
501,Congo River basin,0,4036672512,7,349.4952663
503,Borges2015_315,0.004315399,1560114,2,4.208509209
504,Congo River basin,9.46E-04,5184159.5,2,20.69174029
506,Congo River basin,9.46E-04,5184159.5,2,14.12053753
510,Congo River basin,0.001344187,832906.2,1,390.6434936
511,Borges2015_313,0.001837891,36127284,4,48.95206396
513,Congo River basin,2.75E-04,4040492032,7,35.61814316
514,Congo River basin,0.001156638,982811.9,2,286.9686457
515,Congo River basin,2.17E-04,2296038656,7,60.35189722
518,Congo River basin,3.27E-04,27729650,4,101.1286025
521,Congo River basin,7.59E-04,1556409.8,2,195.8438241
534,Congo River basin,5.88E-05,7577841152,8,158.7521269
535,Congo River basin,0.001938072,458022.8,1,82.18426892
537,Borges2015_312,0.003656005,5777266,2,4.956836283
538,Borges2015_311,0.007662329,4392231,2,18.52487574
539,Congo River basin,5.88E-05,7577841152,8,33.23765121
540,Congo River basin,5.88E-05,7577841152,8,26.39393854
546,Congo River basin,6.33E-04,6493881.5,3,79.92461117
549,Sabaki River,5.80E-04,324696992,6,52.19604984
550,Borges2015_1730,5.80E-04,324696992,6,9.163552071
551,Borges2015_2053,9.03E-04,295175744,6,46.5992377
553,Congo River basin,0,6374238720,8,570.9966212
561,Borges2015_2052,0.001360183,291992224,6,45.7775877
567,Borges2015_2051,0.001489551,288909216,6,17.85668052
574,Borges2015_2050,0.001124126,285655200,6,35.55405755
578,Congo River basin,0.002706402,2279687.2,2,13.725466
580,Congo River basin,0,3466367.5,2,91.14485159
582,Borges2015_2049,0.003511067,278430048,6,61.79615847
583,Borges2015_2044,0.00227769,43137236,5,2.414121962
584,Borges2015_314,0.023192485,342256.1,1,9.487783074
585,Borges2015_2048,0.003684923,269656064,6,48.36423663
587,Congo River basin,0,22858711040,8,120.9542366
588,Congo River basin,0.002132898,2624391.8,2,17.23858197
589,Borges2015_2043,9.05E-04,41897892,5,23.50722075
591,Congo River basin,0,22857799680,8,713.3139468
592,Borges2015_2042,0.007333146,38922040,5,722.410578
594,Borges2015_2046,0.005316676,60518300,5,36.49392258
595,Congo River basin,1.08E-04,1152660224,7,187.2315715
596,Borges2015_316,0.006069389,14917341,3,44.13216644
599,Borges2015_2041,0.007578112,2714500.8,2,21.49014103
604,Borges2015_2047,0.002430347,206085360,5,78.51888143
605,Congo River basin,4.33E-04,126021208,4,38.08928462
614,Lefini,6.43E-05,104692656,4,48.77222245
629,Congo River basin,0,1102013824,7,31.43198334
634,Borges2015_317,0.034016879,3103490.8,2,5.782615937
646,Congo River basin,0.001365989,5705594,2,37.78959483
647,Congo River basin,0.001365989,5705594,2,34.45787726
650,Congo River basin,0,1088621568,7,443.7974671
660,Congo River basin,0,1023654656,7,550.3762462
661,Congo River basin,2.61E-05,589277312,6,15.90357611
663,Congo River basin,2.73E-05,1083307648,7,318.3543307
665,Congo River basin,9.48E-04,4985436.5,3,52.23790511
666,Congo River basin,0,51165788,5,5.287228757
673,Borges2015_2045,0.004717536,193899600,5,36.40986351
681,Djili,0.004973163,442968.3,1,31.49697875
682,Congo River basin,0.002287305,476423.5,1,166.6495695
683,Congo River basin,9.51E-05,22697492480,8,111.5996307
690,Borges2015_810,0.005546064,63697280,4,7.842048882
694,Borges2015_804,0,520662.8,1,1757.950526
697,Borges2015_803,0.028106674,694496.4,2,1.955224341
699,Borges2015_802,0,214634.5,1,1414.456545
702,Tana River-Chalaluma,8.46E-05,445176.3,1,1545.538281
705,Borges2015_801,0.020340762,1081314.2,2,38.67737491
708,Borges2015_800,0.035572887,297345.4,1,3.174830802
709,Garsen,4.05E-04,716725440,6,18.28723979
710,Borges2015_1788,0,713386240,6,592.8749954
718,Borges2015_2040,0.001365216,172876912,5,37.40947684
720,Borges2015_799,0.006612782,1359948.8,1,2219.100552
725,Congo River basin,4.31E-05,22666993664,8,1010.704493
726,Congo River basin,4.31E-05,22666993664,8,2052.473152
727,Borges2015_798,0.008547768,1041750.3,1,50.55014994
728,Congo River basin,3.60E-04,7930288,3,216.6364042
729,Congo River basin,3.60E-04,7930288,3,248.0140303
730,Borges2015_797,0.008547768,1041750.3,1,1018.014566
731,Borges2015_2060,0.00236729,7443533,3,18.80331212
732,Borges2015_793,0.019979887,757589.6,1,54.38407153
733,Borges2015_820,0.013947018,860115,2,41.38747486
734,Borges2015_794,0.013947018,860115,2,105.5260647
737,Borges2015_795,0.026650134,1176919,2,116.8982822
739,Borges2015_796,0.014667856,1230814.6,1,102.9464781
748,Borges2015_2039,0.001446648,88324464,5,148.6917805
753,Congo River basin,1.90E-04,8054965,3,550.1217374
754,Nkeni,4.02E-04,52416044,4,27.34892577
755,Congo River basin,1.90E-04,8054965,3,720.6210333
756,Borges2015_1433,1.74E-04,466943712,5,86.34253767
758,Congo River basin,4.51E-05,22549354496,8,419.4851339
759,Tana River-Tana Primate,1.76E-04,465956800,5,21.05108401
761,Congo River basin,4.51E-05,22549354496,8,330.4539418
765,Borges2015_2056,0.009577478,5290031,3,22.35674816
766,Borges2015_2057,0.005730095,22659830,4,49.29360403
770,MUBIMBI,0.005632164,980700.6,1,16.31387603
771,Congo River basin,8.46E-05,11337117,3,23.62724824
772,Congo River basin,8.46E-05,11337117,3,7.811550125
773,KISHEKE,0.005632164,980700.6,1,873.9930136
774,"Tana river, Masalani",3.18E-04,461006368,5,699.3611204
775,RENGA,0.002115572,925579.2,1,46.31191024
776,Borges2015_1432,3.18E-04,461006368,5,18.55181065
778,Borges2015_2058,0.004095888,14858938,3,0.469390081
779,S1,0.004530145,12368861,3,40.87023413
783,MUZUNGU,0.002945697,289324.2,1,68.50195365
784,MUKONI,0.002945697,289324.2,1,56.60407593
785,Borges2015_2038,0.003076149,61662664,5,10.426606
787,Borges2015_849,0.020642048,480945.2,1,964.0464761
788,KAMUTONI,0.020642048,480945.2,1,965.3362193
789,Borges2015_848,0.020642048,480945.2,1,1000.868818
790,CHABIRINGA,0.020642048,480945.2,1,1004.474785
792,KIHIRA,0.004100852,2027424.1,2,20.53568794
793,KIHIRA from Tingi,0.004100852,2027424.1,2,23.58115299
794,Borges2015_2055,0.004167809,1874848.6,2,0.440094487
795,Borges2015_753,0.016964702,1616784.9,2,33.44787023
796,KIHIRA up stream,0.021508938,255641.6,1,17.24116436
797,P1,0.001344729,53579056,5,7.821229935
798,Borges2015_318,0.001244354,24121290,3,55.25792674
800,Tana River-Hola,4.39E-04,435566816,5,36.96677
802,Borges2015_319,0.003115839,349671.7,1,28.13852711
803,Congo River basin,8.32E-05,22311194624,8,1316.730004
804,T1,0.002508478,13294871,3,35.63256295
805,Borges2015_321,6.39E-04,33196682,4,71.77912124
806,Congo River basin,8.32E-05,22311194624,8,532.0801193
807,Borges2015_322,0.002905297,691302.3,1,6.529052789
808,Borges2015_2037,0.002331624,57173692,5,62.27083744
812,Borges2015_320,0.006116922,1469452,2,26.96894353
815,RWANKWI,0.020709952,2940948,2,467.1385697
818,Borges2015_323,0.002512017,1039545.4,1,239.2367832
823,Borges2015_324,0.001822755,4701849,3,25.54447111
824,Borges2015_325,0.001822755,4701849,3,620.2656123
825,NDATA,0.020709952,2940948,2,487.9999334
826,RANGIRA,0.022039446,11555937,3,353.0422112
827,Borges2015_2036,0.002155086,52022424,5,15.09910215
828,M1r,0.002656895,24797562,4,4.888440363
829,Congo River basin,0,1813382016,7,237.382087
830,Congo River basin,0,1813382016,7,83.74591053
831,Nkomo,0.001486982,17062214,4,15.54067438
832,Alima,1.84E-04,155239664,5,8.752518786
834,Congo River basin,0,19871727616,8,915.7068397
835,Congo River basin,0,943765.6,1,1610.867939
838,Tana River-Bura Bridge,3.99E-04,322652288,5,48.0873428
839,Borges2015_2035,0.003927447,48483692,5,83.86411839
840,Congo River basin,0,18049312,4,27.01973621
841,E1,9.38E-04,20739440,4,17.45860917
846,NGWENDA,0.007624651,1897989.5,2,31.34510304
849,RWAHAMBI,0.008576243,876732.7,1,51.42571779
850,Chania-Thika river-Thika,0.005058872,9451004,3,2.703066017
852,LEL_S,0.009912286,471613,1,35.35072475
853,NGS,0.007172886,1694958,2,79.02792647
854,A_II,0.003033912,8207386,3,22.56509147
856,Congo River basin,1.53E-04,13557595,4,16.81706629
857,Congo River basin,1.53E-04,13557595,4,17.07935628
858,Congo River basin,0,19847940096,8,323.7515887
860,CB,0.004520767,6477182.5,3,835.7586311
861,N_V,0.004804647,7699240.5,3,22.52517594
862,A_III,0.004188933,5764705,3,31.08897767
863,Congo River basin,0,19834220544,8,142.5234976
