site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
S2 dry	151	64	-23.72	-46.44	reservoir	15	7.4		10364	Billings Reservoir	99.72	1229	12.3
Rio Grande reservoir - hypereutrophic stations	37	64	-23.72	-46.43	reservoir	15			10364	Billings Reservoir	99.72	1229	12.3
Funil hydroelectric reservoir	216	62	-22.583324	-44.569476	reservoir	3	27		10342		29.97	890	29.7
Funil reservoir - Lacustrine Zone	187	62	-22.547352	-44.582866	reservoir	3	0.4		10342		29.97	890	29.7
Funil reservoir	187	62	-22.531065	-44.563604	reservoir	11	0.4		10342		29.97	890	29.7
Funil Reservoir	144	62	-22.529434	-44.56378	reservoir	11	9.5		10342		29.97	890	29.7
Funil reservoir - Riverine Zone	187	62	-22.524726	-44.686231	reservoir	11	0.4		10342		29.97	890	29.7
Funil reservoir - Transition Zone	187	62	-22.524634	-44.640037	reservoir	3	0.4		10342		29.97	890	29.7
Funil Reservoir; Furnas Reservoir	190	62	-22.51667	-44.56667	reservoir	11	690		10342		29.97	890	29.7
"Barra Bonita reservoir, site BB-DAM; Barra Bonita reservoir, site BB-MID; Barra Bonita reservoir, site BB-UPS"	1	22	-22.516667	-48.533333	reservoir	3	310		948	Tiete	209.62	3160	15.1
Lake Imboassica	162	129	-22.408254	-41.827176	lake	3	0.326		120822		2.19	8.19	3.7
Lake Cabinas; Lake Cabinas- control; Lake Cabinas- fish; Lake Cabinas- nutr; Lake Cabinas- nutr + fish	161; 162	243	-22.294391	-41.69065	lake	2	0.35						
"lbitinga reservoir, site IB-DAM; lbitinga reservoir, site IB-UPS"	1	61	-21.766667	-48.983333	reservoir	3	114		10332		91.59	985	10.8
Chapu d'Uvas Reservoir	143; 144	128	-21.550965	-43.57263	reservoir	11	9.5		120775		4.3	153	35.6
Chapu d'Uvas Reservoir	190	128	-21.55	-43.58333	reservoir	11	12		120775		4.3	153	35.6
"Promisso reservoir, site PRO-DAM; Promisso reservoir, site PRO-MID; Promisso reservoir, site PRO-UPS"	1	21	-21.316667	-49.766667	reservoir	3	741		946	Promissao Reservoir	511.18	7408	14.5
Furnas Hydroelectrical Reservoir S2-R	67	20	-20.728346	-45.937464	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S1-R	67	20	-20.726219	-45.948511	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S3-R	67	20	-20.724528	-45.921183	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S2-F	67	20	-20.721584	-45.93454	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S1-I	67	20	-20.720825	-45.948287	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S2-I	67	20	-20.717254	-45.936002	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S3-F	67	20	-20.717254	-45.920974	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S3-I	67	20	-20.70996	-45.919106	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S4-R	67	20	-20.705372	-45.895259	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S4-F	67	20	-20.698581	-45.903555	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Hydroelectrical Reservoir S4-I	67	20	-20.69648	-45.908912	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas Reservoir	212	20	-20.66778	-46.312061	reservoir	11			943	Furnas	928.08	22950	24.7
Furnas hydroelectric reservoir	215	20	-20.660411	-46.299565	reservoir	11	23		943	Furnas	928.08	22950	24.7
Furnas hydroelectric reservoir	216	20	-20.65	-46.3	reservoir	11	1342		943	Furnas	928.08	22950	24.7
Peixoto Reservoir	212	19	-20.28	-47.06	reservoir	3			939	Peixoto	250.1	4040	16.2
Mascarenhas de Moraes hydroelectric reservoir	216	19	-20.266667	-47.05	reservoir	3	250		939	Peixoto	250.1	4040	16.2
Luiz Carlos Barreto de Carvalho hydroelectric reservoir	216	60	-20.153159	-47.266811	reservoir	3	45		10325		42.5	1420	33.4
Estreito Reservoir	212	60	-20.1528	-47.277433	reservoir	3			10325		42.5	1420	33.4
Pampulha reservoir	75	127	-19.8525	-43.978333	reservoir	3	1.82		120691		1.48	9.73	6.6
Nado reservoir	40	246	-19.832458	-43.960053	reservoir	3	0.015						
Carioca	207	198	-19.757118	-42.618455	lake	3	0.12		1098524		0.12	0.66	5.6
Carioca Lake	242	198	-19.757	-42.618	lake	3	0.14		1098524		0.12	0.66	5.6
CVO lake	335	247	-19.398444	-56.330667	lake	3	0.161371						
OT lake	335	197	-19.390028	-56.322222	lake	3	0.205964		1098114		0.22	0.44	2
Mirante; Mirante - vegetated	11; 157	248	-19.385462	-57.049375	lake	3	0.0115						
ET lake	335	196	-19.381389	-56.325917	lake	3	0.112867		1098107		0.14	0.19	1.3
Itumbiara hydroelectric reservoir	215	18	-18.319979	-48.950345	reservoir	3	17		929		333.17	17000	51
Trs Marias	158	17	-18.219825	-45.263104	reservoir	3			928	Tres Marias Reservoir	799.76	21000	26.3
Corumba	203	59	-17.769725	-48.559591	reservoir	3			10307		38.83	1500	38.6
Alaotra	292	52	-17.476	48.521	lake	3	195	1.2	1634	Alaotra	172.56	406.73	2.4
Lake Kariba: Gache Gache Bay; Lake Kariba: Gache Gache River	77	13	-16.77	28.95	reservoir	3	0.0084		172	Kariba Reservoir	5276.89	185000	35.1
Lake Kariba: Charara Bay	77	13	-16.7	28.94	reservoir	6	0.0018		172	Kariba Reservoir	5276.89	185000	35.1
Lake Kariba: Charara River	77	13	-16.57	28.94	reservoir	6	0.00425		172	Kariba Reservoir	5276.89	185000	35.1
Lake Kariba: Lufua River	77	13	-16.56	28.33	reservoir	6	0.018		172	Kariba Reservoir	5276.89	185000	35.1
Lake Kariba - close to dam wall - artificial reservoir - surface	54	13	-16.5416	28.74371	reservoir	6			172	Kariba Reservoir	5276.89	185000	35.1
Lake Kariba: Lufua River	77	13	-16.54	28.3	reservoir	6	0.0015		172	Kariba Reservoir	5276.89	185000	35.1
Kamohonjo	292	51	-16.156	45.831	lake	3	255	0.7	1631	Kinkony	154.74	1029.16	6.7
ITT reservoir - close to dam wall - artificial reservoir - surface	54	50	-15.7604	26.00649	reservoir	11			1629		328.54	5700	17.3
Manso hydroelectric reservoir	216	58	-14.866667	-55.75	reservoir	3	360		10243		49.39	2600	52.6
Malawi Lake	179	2	-14.157517	35.112017	lake	3	29500	264	18	Malawi	29544	7720000	261.3
Serra da Mesa hydroelectric reservoir	215	16	-14.073753	-48.317671	reservoir	3	54		922	Serra da Mesa Reservoir	922.61	54400	59
Serra da Mesa	158	16	-13.834995	-48.3085	reservoir	3			922	Serra da Mesa Reservoir	922.61	54400	59
Malawi Lake	179	2	-13.61	34.77	lake	3	29500	264	18	Malawi	29544	7720000	261.3
Malawi Lake	179	2	-12.86	34.62	lake	3	29500	264	18	Malawi	29544	7720000	261.3
Malawi Lake	179	2	-12.23211	34.394854	lake	3	29500	264	18	Malawi	29544	7720000	261.3
Malawi Lake	179	2	-12.11937	34.421778	lake	3	29500	264	18	Malawi	29544	7720000	261.3
"Itaparica hydropower reservoir, deep bay; Itaparica hydropower reservoir, littoral bay; Itaparica hydropower reservoir, main-stream"	214	15	-8.817274	-38.417239	reservoir	6	822		915	Itaparica Reservoir	687.51	10800	15.7
Samuel	104	57	-8.774109	-63.419465	reservoir	2	280		10154		54.07	3493	64.6
Samuel reservoir	141	57	-8.750245	-63.448053	reservoir	2	650		10154		54.07	3493	64.6
Lake Batur Drought; Lake Batur Dry; Lake Batur Wet; Lake Batur Wet transition	154	116	-8.25888	115.40825	lake	3	17.18		16100		15.91	668.08	42
Palasari Reservoir Drought; Palasari Reservoir Dry; Palasari Reservoir Wet; Palasari Reservoir Wet transition	154	237	-8.2531	114.5492	reservoir	2	0.010056		1410691		0.39	1.79	4.6
Tanganyika	292	1	-6.484	29.485	lake	3	32821	572	17	Tanganyika	32826.65	18940000	577
Gargalheiras	127	126	-6.4031	-36.5958	reservoir	6	7.62		118987		2.99	40	13.4
Cruzeta	127	195	-6.4014	-36.7922	reservoir	6	6.07		1087683		0.49	1.36	2.8
Indonesian wetland	113	250	-6.333333	107.65	lake	2	0.002						
Bonfim	127	125	-6.0344	-35.2139	reservoir	3	7.25		118920		7.11	47.11	6.6
Extremoz	127	124	-5.72	-35.2856	reservoir	3	4.65		118859		3.03	22.49	7.4
Tucuru Reservoir - U11	53	4	-4.748355	-49.431584	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Reservoir - U10	53	4	-4.557734	-49.442308	reservoir	2	2000		76	Tucurui Reservoir	2349.17	49536	21.1
Tucuru Hydroelectric Reservoir	65	4	-4.55234	-49.4497	reservoir	2			76	Tucurui Reservoir	2349.17	49536	21.1
