site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
San Pablo	314	122	0.206983	-78.21679	lake	12	6.068211	12	116927		5.98	26.45	4.4
Cubilche 2	314	286	0.23145	-78.13163	lake	13	0.00545	42.55					
Cubilche 1	314	287	0.23204	-78.13238	lake	13	0.002948	1					
Anyiko wetland/ rice paddies control; Anyiko wetland/ rice paddies standard fertilized; Anyiko wetland/ rice paddies under-fetilized	186	288	0.241546	34.294661	lake	2	0.9						
Cuicocha	314	121	0.302055	-78.35376	lake	12	3.932304	74	116916		3.69	124.11	33.7
Yaguarcocha	314	120	0.373842	-78.09935	lake	12	2.505116	3.95	116910		2.32	25.29	10.9
Yandja	292	181	0.714	24.281	lake	1	1.6	0.6	180616		1.45	5.95	4.1
S29	235	114	1.043667	111.831528	reservoir	1	68.4		15929		68.62	2360	34.4
S25	235	114	1.124361	111.869	reservoir	1	68.4		15929		68.62	2360	34.4
E1	235	114	1.134417	111.926306	reservoir	1	68.4		15929		68.62	2360	34.4
S2	235	114	1.135722	111.937	reservoir	1	68.4		15929		68.62	2360	34.4
S2	235	114	1.136472	111.933722	reservoir	1	68.4		15929		68.62	2360	34.4
S2	235	114	1.1365	111.933056	reservoir	1	68.4		15929		68.62	2360	34.4
S1	235	114	1.140222	111.898917	reservoir	1	68.4		15929		68.62	2360	34.4
S2	235	114	1.140944	111.920028	reservoir	1	68.4		15929		68.62	2360	34.4
S27	235	114	1.141667	111.874214	reservoir	1	68.4		15929		68.62	2360	34.4
S1	235	114	1.142083	111.896	reservoir	1	68.4		15929		68.62	2360	34.4
S32	235	114	1.144417	111.910528	reservoir	1	68.4		15929		68.62	2360	34.4
P5	235	114	1.145167	111.893528	reservoir	1	68.4		15929		68.62	2360	34.4
P5	235	114	1.146572	111.892886	reservoir	1	68.4		15929		68.62	2360	34.4
S28	235	114	1.146972	111.874528	reservoir	1	68.4		15929		68.62	2360	34.4
S1	235	114	1.147278	111.908194	reservoir	1	68.4		15929		68.62	2360	34.4
S3	235	114	1.147861	111.937111	reservoir	1	68.4		15929		68.62	2360	34.4
S3	235	114	1.148306	111.938722	reservoir	1	68.4		15929		68.62	2360	34.4
S3	235	114	1.149417	111.937194	reservoir	1	68.4		15929		68.62	2360	34.4
P7	235	114	1.149472	111.85575	reservoir	1	68.4		15929		68.62	2360	34.4
S3	235	114	1.150083	111.935861	reservoir	1	68.4		15929		68.62	2360	34.4
P6	235	114	1.150306	111.869556	reservoir	1	68.4		15929		68.62	2360	34.4
P6	235	114	1.150333	111.868611	reservoir	1	68.4		15929		68.62	2360	34.4
P6	235	114	1.150417	111.869056	reservoir	1	68.4		15929		68.62	2360	34.4
Batang Ai Reservoir- downstream; Batang Ai Reservoir- hypoxic hypolimnion; Batang Ai Reservoir- mixed; Batang Ai Reservoir- oxic hypolimnion; Batang Ai Reservoir- upstream	208	114	1.152074	111.874293	reservoir	1	68.4		15929		68.62	2360	34.4
S5	235	114	1.152639	111.9065	reservoir	1	68.4		15929		68.62	2360	34.4
S8	235	114	1.152778	111.856028	reservoir	1	68.4		15929		68.62	2360	34.4
S5	235	114	1.153028	111.900167	reservoir	1	68.4		15929		68.62	2360	34.4
S8	235	114	1.153444	111.855528	reservoir	1	68.4		15929		68.62	2360	34.4
S5	235	114	1.153778	111.900236	reservoir	1	68.4		15929		68.62	2360	34.4
S5	235	114	1.154583	111.899056	reservoir	1	68.4		15929		68.62	2360	34.4
S6	235	114	1.156389	111.872444	reservoir	1	68.4		15929		68.62	2360	34.4
S33	235	114	1.157639	111.886389	reservoir	1	68.4		15929		68.62	2360	34.4
S8	235	114	1.158611	111.847861	reservoir	1	68.4		15929		68.62	2360	34.4
S6	235	114	1.158861	111.87125	reservoir	1	68.4		15929		68.62	2360	34.4
P11	235	114	1.159561	111.845328	reservoir	1	68.4		15929		68.62	2360	34.4
S6	235	114	1.159861	111.876639	reservoir	1	68.4		15929		68.62	2360	34.4
P12	235	114	1.159992	111.844214	reservoir	1	68.4		15929		68.62	2360	34.4
S4	235	114	1.16	111.918972	reservoir	1	68.4		15929		68.62	2360	34.4
S4	235	114	1.160111	111.919194	reservoir	1	68.4		15929		68.62	2360	34.4
S15	235	114	1.160222	111.956278	reservoir	1	68.4		15929		68.62	2360	34.4
S15	235	114	1.160556	111.954472	reservoir	1	68.4		15929		68.62	2360	34.4
S4	235	114	1.160889	111.9185	reservoir	1	68.4		15929		68.62	2360	34.4
S15	235	114	1.161139	111.953083	reservoir	1	68.4		15929		68.62	2360	34.4
S15	235	114	1.161306	111.953083	reservoir	1	68.4		15929		68.62	2360	34.4
S6	235	114	1.161722	111.865722	reservoir	1	68.4		15929		68.62	2360	34.4
S4	235	114	1.16175	111.921889	reservoir	1	68.4		15929		68.62	2360	34.4
P8	235	114	1.162433	111.846211	reservoir	1	68.4		15929		68.62	2360	34.4
S11	235	114	1.163389	111.856083	reservoir	1	68.4		15929		68.62	2360	34.4
S11	235	114	1.167083	111.854639	reservoir	1	68.4		15929		68.62	2360	34.4
S10	235	114	1.167278	111.864944	reservoir	1	68.4		15929		68.62	2360	34.4
S11	235	114	1.167889	111.854	reservoir	1	68.4		15929		68.62	2360	34.4
S16	235	114	1.168028	111.939194	reservoir	1	68.4		15929		68.62	2360	34.4
S16	235	114	1.168139	111.941472	reservoir	1	68.4		15929		68.62	2360	34.4
S11	235	114	1.168972	111.853083	reservoir	1	68.4		15929		68.62	2360	34.4
S14	235	114	1.169	111.840306	reservoir	1	68.4		15929		68.62	2360	34.4
S14	235	114	1.170083	111.839306	reservoir	1	68.4		15929		68.62	2360	34.4
S9	235	114	1.170694	111.881267	reservoir	1	68.4		15929		68.62	2360	34.4
S14	235	114	1.170889	111.841278	reservoir	1	68.4		15929		68.62	2360	34.4
P4	235	114	1.170964	111.921531	reservoir	1	68.4		15929		68.62	2360	34.4
S16	235	114	1.171333	111.93575	reservoir	1	68.4		15929		68.62	2360	34.4
S7	235	114	1.171436	111.891272	reservoir	1	68.4		15929		68.62	2360	34.4
P4	235	114	1.171444	111.9215	reservoir	1	68.4		15929		68.62	2360	34.4
S9	235	114	1.171972	111.868944	reservoir	1	68.4		15929		68.62	2360	34.4
S14	235	114	1.172528	111.839389	reservoir	1	68.4		15929		68.62	2360	34.4
S10	235	114	1.173	111.864972	reservoir	1	68.4		15929		68.62	2360	34.4
S12	235	114	1.173056	111.803	reservoir	1	68.4		15929		68.62	2360	34.4
S12	235	114	1.173242	111.802547	reservoir	1	68.4		15929		68.62	2360	34.4
S13	235	114	1.173422	111.802706	reservoir	1	68.4		15929		68.62	2360	34.4
S12	235	114	1.173539	111.8027	reservoir	1	68.4		15929		68.62	2360	34.4
S12	235	114	1.173642	111.803356	reservoir	1	68.4		15929		68.62	2360	34.4
S7	235	114	1.173722	111.886972	reservoir	1	68.4		15929		68.62	2360	34.4
S13	235	114	1.174056	111.818194	reservoir	1	68.4		15929		68.62	2360	34.4
S10	235	114	1.174194	111.869778	reservoir	1	68.4		15929		68.62	2360	34.4
S13	235	114	1.174444	111.818083	reservoir	1	68.4		15929		68.62	2360	34.4
S10	235	114	1.174611	111.868222	reservoir	1	68.4		15929		68.62	2360	34.4
S9	235	114	1.174778	111.869083	reservoir	1	68.4		15929		68.62	2360	34.4
S9	235	114	1.174861	111.869083	reservoir	1	68.4		15929		68.62	2360	34.4
S13	235	114	1.175444	111.812972	reservoir	1	68.4		15929		68.62	2360	34.4
S7	235	114	1.176167	111.888528	reservoir	1	68.4		15929		68.62	2360	34.4
S17	235	114	1.176528	111.849972	reservoir	1	68.4		15929		68.62	2360	34.4
S17	235	114	1.176722	111.844944	reservoir	1	68.4		15929		68.62	2360	34.4
P9	235	114	1.176825	111.832639	reservoir	1	68.4		15929		68.62	2360	34.4
S17	235	114	1.177694	111.84475	reservoir	1	68.4		15929		68.62	2360	34.4
P13	235	114	1.177881	111.829614	reservoir	1	68.4		15929		68.62	2360	34.4
P14	235	114	1.177925	111.830369	reservoir	1	68.4		15929		68.62	2360	34.4
S7	235	114	1.178111	111.888	reservoir	1	68.4		15929		68.62	2360	34.4
P13	235	114	1.179481	111.830128	reservoir	1	68.4		15929		68.62	2360	34.4
P14	235	114	1.179553	111.830342	reservoir	1	68.4		15929		68.62	2360	34.4
P9	235	114	1.179981	111.832094	reservoir	1	68.4		15929		68.62	2360	34.4
P4	235	114	1.181222	111.924722	reservoir	1	68.4		15929		68.62	2360	34.4
S18	235	114	1.183194	111.926861	reservoir	1	68.4		15929		68.62	2360	34.4
S18	235	114	1.192028	111.92875	reservoir	1	68.4		15929		68.62	2360	34.4
S18	235	114	1.193	111.928167	reservoir	1	68.4		15929		68.62	2360	34.4
S18	235	114	1.194111	111.925944	reservoir	1	68.4		15929		68.62	2360	34.4
S18	235	114	1.194389	111.925028	reservoir	1	68.4		15929		68.62	2360	34.4
S19	235	114	1.198444	111.930611	reservoir	1	68.4		15929		68.62	2360	34.4
S19	235	114	1.2005	111.935028	reservoir	1	68.4		15929		68.62	2360	34.4
S19	235	114	1.201472	111.936361	reservoir	1	68.4		15929		68.62	2360	34.4
S19	235	114	1.201889	111.932083	reservoir	1	68.4		15929		68.62	2360	34.4
E2	235	114	1.20325	111.935083	reservoir	1	68.4		15929		68.62	2360	34.4
S19	235	114	1.203694	111.933194	reservoir	1	68.4		15929		68.62	2360	34.4
S31	235	114	1.204444	111.95625	reservoir	1	68.4		15929		68.62	2360	34.4
S31	235	114	1.20525	111.958028	reservoir	1	68.4		15929		68.62	2360	34.4
S31	235	114	1.205339	111.956114	reservoir	1	68.4		15929		68.62	2360	34.4
S31	235	114	1.206056	111.953556	reservoir	1	68.4		15929		68.62	2360	34.4
S31	235	114	1.206417	111.956278	reservoir	1	68.4		15929		68.62	2360	34.4
S20	235	114	1.208556	111.925333	reservoir	1	68.4		15929		68.62	2360	34.4
P3	235	114	1.211083	111.972639	reservoir	1	68.4		15929		68.62	2360	34.4
S20	235	114	1.212028	111.926306	reservoir	1	68.4		15929		68.62	2360	34.4
S20	235	114	1.212667	111.923117	reservoir	1	68.4		15929		68.62	2360	34.4
S20	235	114	1.214361	111.921361	reservoir	1	68.4		15929		68.62	2360	34.4
P3	235	114	1.21525	111.967722	reservoir	1	68.4		15929		68.62	2360	34.4
P3	235	114	1.215306	111.966694	reservoir	1	68.4		15929		68.62	2360	34.4
P3	235	114	1.215417	111.966611	reservoir	1	68.4		15929		68.62	2360	34.4
S20	235	114	1.216472	111.924917	reservoir	1	68.4		15929		68.62	2360	34.4
SJ	235	114	1.218583	112.053806	reservoir	1	68.4		15929		68.62	2360	34.4
S24	235	114	1.219583	111.916972	reservoir	1	68.4		15929		68.62	2360	34.4
S24	235	114	1.220236	111.91845	reservoir	1	68.4		15929		68.62	2360	34.4
S24	235	114	1.220639	111.915417	reservoir	1	68.4		15929		68.62	2360	34.4
E4	235	114	1.2235	112.002111	reservoir	1	68.4		15929		68.62	2360	34.4
P2	235	114	1.223611	111.991139	reservoir	1	68.4		15929		68.62	2360	34.4
P2	235	114	1.230308	112.013167	reservoir	1	68.4		15929		68.62	2360	34.4
P2	235	114	1.231292	112.014489	reservoir	1	68.4		15929		68.62	2360	34.4
E3	235	114	1.231528	111.926722	reservoir	1	68.4		15929		68.62	2360	34.4
S23	235	114	1.234436	111.931997	reservoir	1	68.4		15929		68.62	2360	34.4
S30	235	114	1.236886	112.028619	reservoir	1	68.4		15929		68.62	2360	34.4
S30	235	114	1.236889	112.028944	reservoir	1	68.4		15929		68.62	2360	34.4
S30	235	114	1.236889	112.0325	reservoir	1	68.4		15929		68.62	2360	34.4
P2	235	114	1.239083	111.936694	reservoir	1	68.4		15929		68.62	2360	34.4
S23	235	114	1.240878	111.935953	reservoir	1	68.4		15929		68.62	2360	34.4
S23	235	114	1.2435	111.93525	reservoir	1	68.4		15929		68.62	2360	34.4
E5	235	114	1.250403	112.045861	reservoir	1	68.4		15929		68.62	2360	34.4
P1	235	114	1.252111	112.039222	reservoir	1	68.4		15929		68.62	2360	34.4
P1	235	114	1.252306	112.038722	reservoir	1	68.4		15929		68.62	2360	34.4
S22	235	114	1.2535	111.930972	reservoir	1	68.4		15929		68.62	2360	34.4
S22	235	114	1.253833	111.930472	reservoir	1	68.4		15929		68.62	2360	34.4
S22	235	114	1.254778	111.934222	reservoir	1	68.4		15929		68.62	2360	34.4
S26	235	114	1.255139	112.045694	reservoir	1	68.4		15929		68.62	2360	34.4
S22	235	114	1.257444	111.929258	reservoir	1	68.4		15929		68.62	2360	34.4
S26	235	114	1.25825	112.047167	reservoir	1	68.4		15929		68.62	2360	34.4
S26	235	114	1.264556	112.045167	reservoir	1	68.4		15929		68.62	2360	34.4
E6	235	114	1.271444	111.932556	reservoir	1	68.4		15929		68.62	2360	34.4
S21	235	114	1.272889	111.926167	reservoir	1	68.4		15929		68.62	2360	34.4
S21	235	114	1.273444	111.930694	reservoir	1	68.4		15929		68.62	2360	34.4
S21	235	114	1.273694	111.926139	reservoir	1	68.4		15929		68.62	2360	34.4
S26	235	114	1.276417	112.050583	reservoir	1	68.4		15929		68.62	2360	34.4
Albert	292	9	1.622	30.884	lake	3	5402	25	159	Albert	5526.92	138170.5	25
PetitSaut 8	62	55	4.625027	-52.929954	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 9	62	55	4.649542	-52.936771	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 10	62	55	4.651027	-52.935525	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 7	62	55	4.680546	-52.951585	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 6	62	55	4.682002	-52.954439	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 11	62	55	4.68738	-52.945651	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 15	62	55	4.690123	-53.005897	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 12	62	55	4.705045	-52.936902	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 13	62	55	4.708192	-52.948427	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 14	62	55	4.712757	-52.961844	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 16	62	55	4.715231	-53.000314	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 18	62	55	4.725157	-52.907397	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 17	62	55	4.735454	-52.98928	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 23	62	55	4.784369	-53.112251	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 19	62	55	4.786023	-52.941533	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 24	62	55	4.787002	-53.10764	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 35	62	55	4.793139	-53.037206	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 27	62	55	4.820252	-53.114821	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 25	62	55	4.82163	-53.167914	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 26	62	55	4.821991	-53.135855	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 36	62	55	4.833066	-53.01775	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 28	62	55	4.847388	-53.092783	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 5	62	55	4.853112	-52.942251	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 3	62	55	4.857493	-52.930784	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 4	62	55	4.861624	-52.938719	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 2	62	55	4.867931	-52.925154	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 1	62	55	4.871167	-52.969504	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 37	62	55	4.874931	-52.999472	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 31	62	55	4.880402	-52.888493	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 22	62	55	4.890644	-53.044371	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 32	62	55	4.899899	-52.914271	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 34	62	55	4.908362	-52.995422	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 21	62	55	4.913805	-53.040727	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 33	62	55	4.92067	-52.947538	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 30	62	55	4.926913	-53.008243	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 38	62	55	4.939649	-53.04346	reservoir	1	300		9948		41.57	3500	84.2
Petit Saut reservoir	210	55	4.942431	-53.038151	reservoir	1			9948		41.57	3500	84.2
PetitSaut 39	62	55	4.94753	-53.246851	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 40	62	55	4.948612	-53.179338	reservoir	1	300		9948		41.57	3500	84.2
Petit Saut - roche genipa station	3	55	4.954147	-53.032318	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 29	62	55	4.954769	-52.983909	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 42	62	55	4.97125	-53.03118	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 41	62	55	4.971525	-53.105675	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 43	62	55	5.013775	-52.948719	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 44	62	55	5.01798	-53.022364	reservoir	1	300		9948		41.57	3500	84.2
PetitSaut 20	62	55	5.061429	-53.041896	reservoir	1	300		9948		41.57	3500	84.2
Petit Saut reservoir	210	55	5.061976	-53.039638	reservoir	1			9948		41.57	3500	84.2
Petit Saut Reservoir; Petit Saut reservoir	103; 5	55	5.062728	-53.046628	reservoir	1	0.22		9948		41.57	3500	84.2
"Petit Saut reservoir; Petit Saut reservoir, site Crique Bonne Nouvelle (CBN); Petit Saut reservoir, site Fort inonde (FI); Petit Saut reservoir, site Petit Saut Boue (BPS)"	76; 97	55	5.062937	-53.047243	reservoir	1			9948		41.57	3500	84.2
Petit Saut; Petit Saut - all open waters; Petit Saut - all openwaters; Petit Saut - all stations	104; 105; 106; 3	55	5.066667	-53.05	reservoir	1	300		9948		41.57	3500	84.2
Porce III	327	339	6.916969	-75.156012	reservoir	1	4.61	45					
Hidrosogamoso Reservoir: Sampling station E1 (dam); Hidrosogamoso Reservoir: Sampling station E2 (4.3 km from dam); Hidrosogamoso Reservoir: Sampling station E3 (5.09 km from dam); Hidrosogamoso Reservoir: Sampling station E4 (9.74 km from dam); Hidrosogamoso Reservoir: Sampling station E5 (10.34 km from dam); Hidrosogamoso Reservoir: Sampling station E6 (11.54 km from dam); Hidrosogamoso Reservoir: Sampling station E7 (14.73 km from dam); Hidrosogamoso Reservoir: Sampling station E8 (16.02 km from dam)	213	340	7.069489	-73.369139	reservoir	1	69.6						
NKMK P1	230	341	8.116171	77.526806	lake	3	0.02						
NAKK P1	230	342	8.121173	77.501383	lake	3	0.07						
Parakkai Lake	230	343	8.145891	77.454491	reservoir	3	0.9						
Vellayani lake	70	180	8.433776	76.991665	lake	3	5.7		180011		2.01	9.38	4.7
Manimuthar Dam	230	179	8.64553	77.42357	reservoir	3			179975		7.75	105.74	13.6
Fortuna	106	119	8.75	-82.18333	reservoir	1	10		116358		6.97	197.9	28.4
Idukki Kerala Reservoir	177	113	9.789333	76.933009	reservoir	2			15833		39.08	2000	51.2
Idukki	176	113	9.793038	77.030804	reservoir	2			15833		39.08	2000	51.2
KAMK	230	344	10.1891	76.37902	lake	2	0.0008						
Palar-Porunthalar Dam	230	178	10.38188	77.48873	reservoir	6			179766		4.76	43.2	9.1
Parapalar Dam	230	228	10.43288	77.68913	reservoir	3			1402100		0.58	3.94	6.7
TSFP1	230	345	10.80725	79.13458	lake	3	0.009						
THKP1	230	346	10.80951	79.138173	lake	3	0.005						
TSFP2	230	347	10.81418	79.13475	lake	3	0.0006						
CTRT P1	230	348	10.975234	76.821332	lake	3	0.0003						
CPST P1	230	349	11.003817	76.935746	lake	3	0.2						
DHKO L1	230	350	12.12213	77.9124	lake	3	0.05						
DHPE P1	230	351	12.126141	77.900443	lake	3	0.06						
"Lake Thimmapuram, inside stands of water hyacinths; Lake Thimmapuram, open water"	19	227	12.454404	78.223679	lake	6	0.68		1400280		0.4	0.83	2.1
Madhurandhagam Lake	230	177	12.53203	79.88517	lake	3			179461		6.29	9.66	1.5
Nemmeli Lake	230	352	12.66185	80.03023	reservoir	3	0.13						
Kolavai Lake	230	176	12.70062	79.99527	lake	3			179434		6.13	19.94	3.3
Tonle Sap Lake	168	8	12.75633	104.163652	lake	3	12000		153	Tonle Sap	2415.98	30600	12.7
Markan deya	176	226	12.907156	78.079995	reservoir	6			1399512		0.8	3.11	3.9
Bellandur Lake-BL1; Bellandur Lake-BL4; Bellandur Lake-BL6; Bellandur Lake-BLN1; Bellandur Lake-BLN2	196	175	12.9356	77.6722	reservoir	3	3.7		179389		1.82	4.56	2.5
Jakkur Lake-JK1; Jakkur Lake-JK3; Jakkur Lake-JK4; Jakkur Lake-JK7; Jakkur Lake-JK9	196	225	13.0875	77.6108	reservoir	3	0.65		1399250		0.35	1.03	2.9
Puliyalam Lake	230	353	13.61617	79.995	lake	3	0.16						
SUKA P1	230	354	13.701299	80.025756	lake	3	0.13						
Pulicat Lake	230	355	13.73645	80.07686	lake	3							
HSSF; HSSF-inlet; HSSF-middle; HSSF-outlet; VF; vertical subsurface flow (VF)	181	356	13.7383	100.5326	lake	3	1.00E-06						
Calibato Lake	167	224	14.101995	121.377454	lake	2	0.43		1397790		0.35	2.59	7.4
Pandin Lake; Yambo Lake	167	223	14.119754	121.368218	lake	2	0.305		1397762		0.25	1.4	5.7
PH-RiF	79	357	14.141	121.265	lake	2	0.05						
Mun River- S2 - Mun Bon reservoir	139	112	14.469814	102.127136	reservoir	3			15749		16.09	220.19	13.7
Mun River- S9 - Lamtakong reservoir	139	111	14.802308	101.527967	reservoir	3			15743		26.89	310	11.5
Selaulium	176	110	15.176452	74.191062	reservoir	2			15738		14.33	154.23	10.8
"Selaulim, Goa Reservoir"	177	110	15.209832	74.180507	reservoir	2			15738		14.33	154.23	10.8
Supa	176	109	15.271195	74.507009	reservoir	2			15736		89.71	4178	46.6
"Supa, Karnataka Reservoir"	177	109	15.325381	74.404665	reservoir	2			15736		89.71	4178	46.6
"Tillari, Maharashtra Reservoir"	177	358	15.758866	74.097183	reservoir	2							
Tillari	176	358	15.759875	74.105455	reservoir	2							
"Markandeya, Karnataka Reservoir"	177	360	16.008498	74.638933	reservoir	3							
Sri Sailam	176	47	16.145212	78.87468	reservoir	6			1524	Srisailam Reservoir	536.42	8722	16.3
Nagarjuna Sagar	176	46	16.56456	79.24298	reservoir	6			1519	Nagarjuna	195.9	11600	59.2
El Chichon Lake	166	361	17.36	-93.23	lake	1	0.115						
Koyna	176	108	17.408628	73.763261	reservoir	3			15692		86.85	2800	32.2
"Koyna,  Maharashtra Reservoir"	177	108	17.506179	73.787915	reservoir	3			15692		86.85	2800	32.2
Nam Theun 2 reservoir - RES9	107	362	17.705756	105.164715	reservoir	2	328						
Nam Theun 2 reservoir - RES8	107	362	17.724933	105.19415	reservoir	2	328						
Nam Theun 2 reservoir - RES7	107	362	17.747502	105.1802	reservoir	2	328						
Nam Theun 2 reservoir - RES3	107	362	17.848753	104.970738	reservoir	2	328						
Nam Theun 2 reservoir - RES1	107	362	17.971434	104.958298	reservoir	2	328						
Nam Theun 2 reservoir; Nam Theun 2 reservoir - RES1-RES8	107; 81	362	17.99694	104.95222	reservoir	11	328						
Nam Leuk Reservoir	59	174	18.45	102.95	reservoir	3	13		178446		9.23	185	20
Nam Ngum Reservoir	59	45	18.531451	102.64831	reservoir	2	350		1510		436.93	7030	16.1
Valle de Bravo	324	54	19.193654	-100.153859	reservoir	12	18.55	21.1	9745		17.02	400	23.5
Mexico city Chinampas	163	368	19.3	-99.1	lake	12	22						
Mexico city reservoirs (Tacubaya)	163	369	19.394414	-99.214117	reservoir	12							
Mexico city lakes (Chapultepec)	163	370	19.422227	-99.184953	lake	12							
Community of Pinoltepec	112	371	19.445833	-96.755	lake	3	2.00E-05						
Mexico city pond	163	372	19.5371	-99.1459	lake	12	0.085						
lago de guadalupe	7	118	19.630509	-99.259286	reservoir	12	4.5		115324		3.58	66	18.5
lago de llano	7	373	19.6582	-99.5071	reservoir	12	0.06						
Ukai	176	44	21.245248	73.643512	reservoir	3			1504	Ukal	370.3	8510	23
Hirakud	176	43	21.57256	83.822891	reservoir	3			1502	Hirakud Reservoir	500.81	8100	16.2
Sardar Sarovar	176	42	21.830045	73.769844	reservoir	3			1500		103.22	9500	92
Longluan Lake	1000	173	21.9779	120.7435	lake	2	1.75	3.5	177919		1.02	2.64	2.6
Lanyutian Lake	1000	374	22.021008	121.572611	lake	1							
Nanren Lake	1000	375	22.087307	120.864532	lake	2	0.124						
Pokfulam	304	376	22.264638	114.137289	reservoir	11	0.03						
East Kolkata Wetlands LTP	58	377	22.5239	88.4406	lake	3	0.0045						
East Kolkata Wetlands NTP	58	377	22.5242	88.0453	lake	3	0.004						
Chengcing Lake	1000; 1048	222	22.664	120.353	lake	3	1.03		1389201		0.97	4.72	4.8
Shiyan	1120	378	22.69	113.907	reservoir	11	3.9	4.6					
Yangnv Lake	1000	379	22.803	120.409	lake	11	0.00055						
South Lake	1179	171	22.81	108.35	lake	14	1.07	1.5	177621		1.16	3.52	3
Dagui Lake	1000	380	22.868	120.861	lake	12	0.1187						
Hutoupi	1043	221	23.028138	120.342227	reservoir	3	0.27		1388634		0.12	0.35	2.9
Lotus Pond	1000	381	23.1474	120.5039	lake	11	0.0009						
Wutoushan Lake	1000	170	23.2022	120.3683	lake	11	13		177518		5.59	147.7	26.4
Tsengwen	1032	107	23.256947	120.554842	reservoir	11	17.72	33.1	15546		11.86	707.5	59.7
Lianhe Reservoir	278	169	23.288966	113.912979	reservoir	11	2.453		177493		2.44	82	33.6
Renyi Lake	1000	168	23.461	120.5023	lake	11	2.32		177451		1.88	11.18	6
Lantan Lake	1000	220	23.4729	120.4794	lake	11	2		1387883		0.49	2.58	5.3
Dalongdong Reservoir	133	106	23.58856	108.5889	reservoir	14			15537		14.23	151	10.6
Dalongdong	329	106	23.588764	108.587776	reservoir	14	8.79	11	15537		14.23	151	10.6
Dalongdong Reservoir	199	106	23.595059	108.581425	reservoir	14	8.79		15537		14.23	151	10.6
Dalongdong	1064	106	23.602	108.594	reservoir	14	8.79	9.5	15537		14.23	151	10.6
Liucai Lake	1000	382	23.748017	121.238752	lake	15	0.0004						
Qicai Lake	1000	383	23.750188	121.235785	lake	15	0.022						
Xiluo Lake	1000	384	23.805252	120.456892	lake	11	0.0006						
Xinfengjiang	1108	41	23.81	114.588	reservoir	11	364	28.7	1491		264.53	13896	52.5
Sun Moon Lake	1000	167	23.8667	120.9167	lake	11	7.93		177367		7.01	153.78	21.9
Donghua Lake	1000	385	23.899357	121.539796	lake	14	0.0065						
Carp Lake	1000	219	23.9288	121.5099	lake	14	1.04		1387139		0.86	7.4	8.6
Wushe Lake	1000	166	23.98623	121.135291	lake	12			177353		2.54	80.59	31.7
"Rihand, Uttar Pradesh Reservoir"	177	40	24.130552	82.89937	reservoir	11			1487	Govind Ballabah Pant	398.8	10600	26.6
Hongqi	1191	165	24.134	103.987	lake	11	3.6	27	177327		2.89	40.57	14
Puzhehei Lake	1191	218	24.15	104.118	lake	11	12.761	4.95	1386894		0.51	1.88	3.7
Qilu Lake	1191	105	24.165	102.78	lake	12	36.73	6.9	15519		36.12	108.38	3
Lishantian Lake	1000	386	24.220526	121.237547	lake	15	0.0004						
Xueshantian Lake	1000	387	24.28279	121.027395	lake	12	0.0025						
