group_idx_manual,lake_area_km2,vol_total_Mm3,depth_avg_m,method
1198,0.02,,,ref/manual delineation
1199,0.15,,,ref/manual delineation
1200,0.13,,,ref/manual delineation
1201,0.02,,,ref/manual delineation
1202,0.006,,,ref/manual delineation
1203,0.08,,,ref/manual delineation
1204,0.05,,,ref/manual delineation
1205,4.9,,,ref/manual delineation
1206,0.18,,,ref/manual delineation
1207,0.03,,,ref/manual delineation
1208,0.048,,,ref/manual delineation
1209,0.008,,,ref/manual delineation
1210,0.007,,,ref/manual delineation
1211,0.016,,,ref/manual delineation
1212,0.036,,,ref/manual delineation
1213,0.03,,,ref/manual delineation
1214,0.15,,,ref/manual delineation
1215,0.00133,,,ref/manual delineation
1216,0.082,,,ref/manual delineation
1217,0.004,,,ref/manual delineation
1218,0.012,,,ref/manual delineation
1219,0.0025,,,ref/manual delineation
1220,0.00375,,,ref/manual delineation
1221,0.3,,,ref/manual delineation
1222,0.003,,,ref/manual delineation
1223,0.008,,,ref/manual delineation
1224,0.002,,,ref/manual delineation
1225,0.0045,,,ref/manual delineation
1226,0.000488,,,ref/manual delineation
1227,0.015,,,ref/manual delineation
1228,0.02,,,ref/manual delineation
1229,0.009,,,ref/manual delineation
1230,0.065,,,ref/manual delineation
1231,0.0085,,,ref/manual delineation
1232,0.015,,,ref/manual delineation
1233,0.015,,,ref/manual delineation
1234,0.126,,,ref/manual delineation
1235,0.006,,,ref/manual delineation
1236,0.05,,,ref/manual delineation
