site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
1644,QPA,-65.82028,18.32731,-65.82291667,18.32791667,286.6914366,0.24,3.5,10.44899559,0.299841374,NA,4,0.032494,187
1684,Pokfulam - downstream,114.136511,22.262486,114.13625,22.26291667,54.96718815,1.7,3.5,1.773515821,0.007946313,NA,2,0.109144,142
1686,Pokfulam,114.140834,22.267061,114.13875,22.26625,232.9001465,1.4,3,1.537281871,1.244578123,2,2,0.052955,174
1737,Beinan River,121.178977,22.976963,121.1770833,22.97541667,259.4178453,NA,3,1.158094525,0.730556548,2,2,0,191
1790,Lehe River,121.363564,23.319257,121.3545833,23.31625,977.1904419,NA,4,32.3676033,27.57850456,4,4,0,185
1871,Hualien River,121.500789,23.735409,121.50125,23.73291667,281.3943987,NA,2.5,2.210147381,0.009422232,NA,2,0.002411,133
1879,Ganges_W6Ê,90.2583,23.8231,90.25625,23.82125,293.2466082,NA,4,0.113047682,0.077103078,NA,1,0.005411,11
1956,Ganges_W5Ê,88.61,24.5394,88.60958333,24.54125,210.2189182,NA,2.5,3.973805666,0.007810913,NA,2,0,16
1977,Dongshan River,121.794081,24.636182,121.79625,24.63625,219.6037813,NA,3,0.178377852,0.016263401,NA,1,0,6
2017,GC3,109.335046,24.862778,109.33625,24.86041667,289.6292212,NA,3,185.7607574,31.98187065,4,5,0.005792,161
2019,GC2,109.334389,24.864792,109.3345833,24.86208333,302.1655616,NA,3,32.01177979,0.026751751,NA,4,0.015148,159
2022,GC1,109.335214,24.869526,109.3354167,24.86708333,272.6857301,NA,4,31.65994072,31.54274178,4,4,0,166
2049,Longchuan River-12,101.477818,25.000597,101.4779167,25.00125,73.37003708,NA,3,83.28401184,17.74120903,1,5,0,1825
2050,Longchuan River-12,101.477818,25.000639,101.4779167,25.00125,68.74077589,NA,3,83.28401184,17.74120903,1,5,0,1825
2054,Longchuan River-39,101.478792,25.010791,101.4804167,25.01208333,218.0789743,NA,2.5,115.9173203,115.8148422,5,5,0.02598,1818
2081,Longchuan River-34,101.4008,25.12,101.3995833,25.12208333,262.3403632,NA,2.5,80.89205933,0.11138995,NA,5,0,1822
2094,Longchuan River-9,101.491358,25.162502,101.4904167,25.16125,168.5829095,NA,3,38.58938217,38.49816895,5,5,0.012124,1835
2122,Longchuan River-30,101.127565,25.25,101.12875,25.24875,183.2963489,NA,4,160.7400055,49.05944443,NA,5,0,1919
2124,Longchuan River-8,101.371254,25.250904,101.3795833,25.24791667,902.158181,NA,4.5,197.3200836,4.336441517,3,5,0,1907
