Reference,Authors,Title,Journal,Year,DOI,Database
1100,Li,"Carbon dioxide emissions from cascade hydropower reservoirs along the Wujiang River, China",Inland Water,2018,10.1080/20442041.2018.1442040,Lakes
1101,Li,CO2 oversaturation and degassing using chambers and a new gas transfer velocity model from the Three Gorges Reservoir surface,Science of the Total Environment,2018,10.1016/j.scitotenv.2018.05.345,Rivers; Lakes
1102,Zhang,Diel and seasonal methane flux across water-air interface of a subtropic eutrophic pond,Toxicological & Environmental Chemistry,2018,10.1080/02772248.2018.1499231,Lakes
1103,Lu,Importance of considered organic versus inorganic source of carbon to lakes for calculating net effect on landscape C budgets,Journal of Geophysical Research: Biogeosciences,2018,10.1002/2017JG004159,Lakes
1104,Zhong,Mechanisms controlling dissolved CO2 over-saturation in the Three Gorges Reservoir area,Inland Water,2018,10.1080/20442041.2018.1457848,Lakes
1105,Li,Spatial temporal patterns of methane dynamics in Lake Taihu,Hydrobiologia,2018,10.1007/s10750-018-3670-4,Lakes
1106,Shang,CH4 emissions characteristics and its influencing factors in an eutrophic lake,____( Environmental Science),2018,10.13227/j.hjkx.201803128,Lakes
1107,Cao,Distribution characteristics of partial pressure of carbon dioxide during thermal stratification in summer in Guangzhao Reservoir,_______ (Environmental Science & Technology),2018,10.19672/j.cnki.1003-6504.2018.06.003,Lakes
1108,Zhou,Partial pressure of carbon dioxide in the Xinfengjiang Reservoir of Guangdong Province and its influencing factors,____ (Journal of Lake Sciences),2018,10.18307/2018.0319,Lakes
1109,Cao,Research of distribution characteristics and influencing factors of pCO2 in Hongshui River Longtan Reservoir in summer,_________(Journal of Ecology and Rural Environment),2018,10.11934/j.issn.1673-4831.2018.06.006,Lakes
1110,Zhang,Partial pressure variation and diffusion flux of CO2 in reservoir backwater area in karst zone in summer,__ (Journal Of China Hydrology),2018,,Lakes
1111,Zhao,Partial pressure of carbon dioxide and hydrochemical characteristics of surface water in the Longtan Reservoir,____ (Wetland Science),2018,10.13248 / j.cnki.wetlandsci.2018.06.015,Lakes
1112,Jia,Analysis of greenhouse gas emission characteristics and their influencing factors in the algae zone of Lake Taihu,____ (Environmental Science),2018,10.13227/j.hjkx.201708123,Lakes
1113,Pu,The methane ebullition flux over algae zone of Lake Taihu,______ (China Environmental Science),2018,,Lakes
1114,Li,Influence of weather condition on CO2 flux in eutrophic pond water-air interface in winter,______(_____) [Journal of China Three Gorges University (Natural Sciences)],2018,10.13393/j.cnki.issn.1672-948x.2018.04.007,Lakes
1115,Peng,Spatial-temporal variations of CO2 and CH4 flux through a water-air interface under the effect of primary productivity in Wulixia Reservoir,____ (Environmental Science),2018,10.13227/j.hjkx.201709119,Lakes
1116,Tan,"Carbon dioxide emissions from the Geheyan Reservoir over the Qingjiang River Basin, China",Ecohydrology & Hydrobiology,2019,10.1016/j.ecohyd.2019.03.006,Lakes
1117,Qin,"CO2 and CH4 partial press and flux across water-air interface in the downstream of Jinsha River, China",Applied Ecology and Environmental Research,2019,10.15666/aeer/1703_58235839,Rivers
1118,Ni,"CO2 partial pressure and CO2 degassing in the Daning River of the upper Yangtze River, China",Journal of Hydrology,2019,10.1016/j.jhydrol.2018.12.017,Rivers
1119,Zhang,Diel methane flux from a subtropical eutrophic pond in November based on continuous monitoring,Acta Geochimica,2019,10.1007/s11631-019-00317-1,Lakes
1120,Chen,Interaction between carbon dioxide emissions and eutrophication in a drinking water reservoir: A three-dimensional ecological modeling approach,Science of the Total Environment,2019,10.1016/j.scitotenv.2019.01.336,Lakes
1121,Miller,Magnitudes and drivers of greenhouse gas fluxes in floodplain ponds during drawdown and inundation by the Three Gorges Reservoir,Journal of Geophysical Research: Biogeosciences,2019,10.1029/2018JG004701,Lakes
1122,Li,"Methane distribution patterns along a transect of Lake Fuxian, a deep oligotrophic lake in China",Environmental Science and Pollution Research,2019,10.1007/s11356-019-06098-7,Lakes
1123,Liu,Methane emissions from the littoral zone of Poyang lake during drawdown periods,Journal of Freshwater Ecology,2019,10.1080/02705060.2018.1537941,Lakes
1124,Li,Methane levels in five shallow lakes in China: Effect of lake paludification,Quaternary International,2019,10.1016/j.quaint.2018.08.004,Lakes
1125,Lei,"Methane oxidation in the water column of Xiangxi Bay, Three Gorges Reservoir",Clean – Soil Air Water,2019,10.1002/clen.201800516,Rivers
1127,Qi,Temporal and spatial variation of carbon dioxide concentration and its exchange fluxes in Lake Chao,____ (Journal of Lake Sciences),2019,10.18307/2019.0315,Lakes
1128,Gong,"Effects of field towns development on the dissolved and diffusion fluxes of greenhouse gases in Heishuitan River basin, Chongqing",____ (Acta Ecologica Sinica),2019,10.5846/stxb201810112205,Rivers
1129,Chen,Carbon dioxide release from water-air interface in karst watershed and its influencing factors: A case study of Aha Lake,MS thesis,2019,,Lakes
1130,Qin,CO2 and CH4 flux across water-air interface and environmental factors in Pengxi River of the Three Gorges Reservoir,______ (Journal of Earth Environment),2019,10.7515/JEE182071,Rivers
1131,Zhao,Temporal and spatial variation of carbon dioxide partial pressure and exchange flux characteristics in the backwater area of Wanfeng Reservoir,____ (Environmental Chemistry),2019,10.7524 / j.issn.0254 - 6108.2018072302,Lakes
1132,Luo,Water-air interface CO2 exchange flux of typical lakes in a mountainous area of the western Chongqing and their influencing factors,____ (Environmental Science),2019,10.13227/j.hjkx.201805065,Lakes
1133,Qin,Diffusive flux of CH4 and N2O from agricultural river networks: Regression tree and importance analysis,Science of the Total Environment,2020,10.1016/j.scitotenv.2020.137244,Rivers
