Reference,Authors,Title,Journal,Year,DOI,Database
1,"D. S. Abe, C. Sidagis-Galli, T. M. Tundisi, J. E. M. Tundisi, D. E. Grimberg, G. R. Medeiros, V. Teixeira-Silva and J. G. Tundisi","The effect of eutrophication on greenhouse gas emissions in three reservoirs of the Middle Tiete River, southeastern Brazil",Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2009,10.1080/03680770.2009.11902248,Lakes
3,"G. Abril, F. Guérin, S. Richard, R. Delmas, C. Galy-Lacaux, P. Gosse, A. Tremblay, L. Varfalvy, M. A. Dos Santos, B. Matvienko, F. Guerin, S. Richard, R. Delmas, C. Galy-Lacaux, P. Gosse, A. Tremblay, L. Varfalvy, M. A. Dos Santos and B. Matvienko","Carbon dioxide and methane emissions and the carbon budget of a 10-year old tropical reservoir (Petit Saut, French Guiana)",GLOBAL BIOGEOCHEMICAL CYCLES,2005,10.1029/2005GB002457,Lakes
4,"G. Abril, J. M. Martinez, L. F. Artigas, P. Moreira-Turcq, M. F. Benedetti, L. Vidal, T. Meziane, J. H. Kim, M. C. Bernardes, N. Savoye, J. Deborde, E. L. Souza, P. Albéric, M. F. Landim De Souza and F. Roland",Amazon River carbon dioxide outgassing fuelled by wetlands,NATURE,2014,10.1038/nature12797,Rivers; Lakes
5,"G. Abril, S. Richard and F. Guerin",In situ measurements of dissolved gases (CO2 and CH4) in a wide range of concentrations in a tropical reservoir using an equilibrator,SCIENCE OF THE TOTAL ENVIRONMENT,2006,10.1016/j.scitotenv.2004.12.051,Rivers; Lakes
6,D. D. Adams and G. M. Simiyu,Greenhouse gas (methane and carbon dioxide) emissions from a tropical river in Kenya: the importance of anthropogenic factors on natural gas flux rates,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2009,10.1080/03680770.2009.11902264,Rivers
7,"T. Aguirrezabala-Campano, R. Gonzalez-Valencia, F. J. Cervantes and F. Thalasso",Overall spatiotemporal dynamics of greenhouse gasses and oxygen in two subtropical reservoirs with contrasting trophic states,WATER RESEARCH,2021,10.1016/j.watres.2021.117056,Lakes
8,"S. R. Alin, M. D. F. F. L. Rasera, C. I. Salimon, J. E. Richey, G. W. Holtgrieve, A. V. Krusche and A. Snidvongs",Physical controls on carbon dioxide transfer velocity and flux in low-gradient river systems and implications for regional carbon budgets,Journal of Geophysical Research: Biogeosciences,2011,10.1029/2010JG001398,Rivers
9,"R. M. Almeida, F. S. Pacheco, N. Barros, E. Rosi and F. Roland",Extreme floods increase CO2 outgassing from a large Amazonian river,LIMNOLOGY AND OCEANOGRAPHY,2017,10.1002/lno.10480,Rivers
10,P. C. Alvala and V. Kirchhoff,Methane fluxes from the Pantanal floodplain in Brazil: Seasonal variation,"Non-CO2 Greenhouse Gases: Scientific Understanding, Control and Implementation ",2000,10.1007/978-94-015-9343-4_6,Wetlands
11,P. C. Alvala and L. Marani,"Environmental Parameters Influencing the Methane Emissions in the Pantanal Floodplain, Brazil",Climate Change and Crops,2009,10.1007/978-3-540-88246-6_7,Lakes
12,"J. H. F. Amaral, A. V. Borges, J. M. Melack, H. Sarmento, P. M. Barbosa, D. Kasper, M. L. de Melo, D. De Fex-Wolf, J. S. da Silva and B. R. Forsberg",Influence of plankton metabolism and mixing depth on CO2 dynamics in an Amazon floodplain lake,SCIENCE OF THE TOTAL ENVIRONMENT,2018,10.1016/j.scitotenv.2018.02.331,Lakes
13,"J. H. F. Amaral, V. F. Farjalla, J. M. Melack, D. Kasper, V. Scofield, P. M. Barbosa and B. R. Forsberg",Seasonal and spatial variability of CO2 in aquatic environments of the central lowland Amazon basin,BIOGEOCHEMISTRY,2019,10.1007/s10533-019-00554-9,Rivers; Lakes
14,"J. H. F. Amaral, J. M. Melack, P. M. Barbosa, A. V. Borges, D. Kasper, A. C. Cortes, W. C. Zhou, S. MacIntyre and B. R. Forsberg","Inundation, Hydrodynamics and Vegetation Influence Carbon Dioxide Concentrations in Amazon Floodplain Lakes",ECOSYSTEMS,2021,10.1007/s10021-021-00692-y,Lakes
15,"J. H. F. Amaral, J. M. Melack, P. M. Barbosa, S. MacIntyre, D. Kasper, A. Cortés, T. S. F. Silva, R. Nunes de Sousa and B. R. Forsberg",Carbon Dioxide Fluxes to the Atmosphere From Waters Within Flooded Forests in the Amazon Basin,Journal of Geophysical Research: Biogeosciences,2020,10.1029/2019JG005293,Wetlands
16,"L. F. Andrews, P. D. Wadnerkar, S. A. White, X. Chen, R. E. Correa, L. C. Jeffrey and I. R. Santos","Hydrological, geochemical and land use drivers of greenhouse gas dynamics in eleven sub-tropical streams",AQUATIC SCIENCES,2021,10.1007/s00027-021-00791-x,Rivers
17,"F. A. S. Armani, N. L. Dias and J. M. Damazio","Eddy-covariance CO2 fluxes over Itaipu lake, southern Brazil",RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,2020,10.1590/2318-0331.252020200060,Lakes
18,"M. L. Atkins, I. R. Santos and D. T. Maher","Seasonal exports and drivers of dissolved inorganic and organic carbon, carbon dioxide, methane and _13C signatures in a subtropical river network",SCIENCE OF THE TOTAL ENVIRONMENT,2017,10.1016/j.scitotenv.2016.09.020,Rivers
19,"K. Attermeyer, S. Flury, R. Jayakumar, P. Fiener, K. Steger, V. Arya, F. Wilken, R. van Geldern and K. Premke",Invasive floating macrophytes reduce greenhouse gas emissions from a small tropical lake,SCIENTIFIC REPORTS,2016,10.1038/srep20424,Lakes
20,"C. M. Balagizi, F. Darchambeau, S. Bouillon, M. M. Yalire, T. Lambert and A. V. Borges","River geochemistry, chemical weathering, and atmospheric CO2 consumption rates in the Virunga Volcanic Province (East Africa)","Geochemistry, Geophysics, Geosystems",2015,10.1002/2015GC005999,Rivers
21,"M. V. Ballester, L. A. Martinelli, A. V. Krusche, R. L. Victoria, M. Bernardes and P. B. Camargo","Effects of increasing organic matter loading on the dissolved O-2, free dissolved CO2 and respiration rates in the Piracicaba River basin, southeast Brazil",WATER RESEARCH,1999,10.1016/S0043-1354(98)00438-2,Rivers
22,"H. Bange, C. Hock Sim, D. Bastian, J. Kallert, A. Kock, A. Mujahid and M. Müller",Nitrous oxide (n2o) and methane (ch4) in rivers and estuaries of northwestern borneo,BIOGEOSCIENCES,2019,10.5194/bg-16-4321-2019,Rivers
23,"S. Bansal, M. Chakraborty, D. Katyal and J. K. Garg","METHANE FLUX FROM A SUBTROPICAL RESERVOIR LOCATED IN THE FLOODPLAINS OF RIVER YAMUNA, INDIA",APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2015,10.15666/aeer/1302_597613,Lakes
24,"P. M. Barbosa, V. F. Farjalla, J. M. Melack, J. H. F. Amaral, J. S. da Silva and B. R. Forsberg",High rates of methane oxidation in an Amazon floodplain lake,BIOGEOCHEMISTRY,2018,10.1007/s10533-018-0425-2,Lakes
25,"P. M. Barbosa, J. M. Melack, J. H. F. Amaral, A. Linkhorst and B. R. Forsberg",Large Seasonal and Habitat Differences in Methane Ebullition on the Amazon Floodplain,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2021,10.1029/2020JG005911,Lakes
26,"P. M. Barbosa, J. M. Melack, J. H. F. F. Amaral, S. MacIntyre, D. Kasper, A. Cortés, V. F. Farjalla, B. R. Forsberg, A. Cortes, V. F. Farjalla and B. R. Forsberg",Dissolved methane concentrations and fluxes to the atmosphere from a tropical floodplain lake,BIOGEOCHEMISTRY,2020,10.1007/s10533-020-00650-1,Lakes
27,"P. M. Barbosa, J. M. Melack, V. F. Farjalla, J. H. F. Amaral, V. Scofield and B. R. Forsberg","Diffusive methane fluxes from Negro, Solimões and Madeira rivers and fringing lakes in the Amazon basin",LIMNOLOGY AND OCEANOGRAPHY,2016,10.1002/lno.10358,Rivers; Lakes
28,K. E. Barrera and L. L. Robbins,Historical patterns of acidification and increasing CO2 flux associated with Florida springs,LIMNOLOGY AND OCEANOGRAPHY,2017,10.1002/lno.10573,Rivers
29,"K. B. Bartlett, P. M. Crill, J. A. Bonassi, J. E. Richey and R. C. Harriss",METHANE FLUX FROM THE AMAZON RIVER FLOODPLAIN - EMISSIONS DURING RISING WATER,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1990,10.1029/JD095iD10p16773,Rivers
30,"K. B. Bartlett, P. M. Crill, D. I. Sebacher, R. C. Harriss, J. O. Wilson and J. M. Melack",METHANE FLUX FROM THE CENTRAL AMAZONIAN FLOODPLAIN,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1988,10.1029/JD093iD02p01571,Lakes
31,"A. M. Bass, N. C. Munksgaard, M. Leblanc, S. Tweed and M. I. Bird",Contrasting carbon export dynamics of human impacted and pristine tropical catchments in response to a short-lived discharge event,Hydrological Processes,2014,10.1002/hyp.9716,Rivers
32,"A. M. Bass, D. O' Grady, C. Berkin, M. Leblanc, S. Tweed, P. N. Nelson and M. I. Bird","High diurnal variation in dissolved inorganic C, _13C values and surface efflux of CO2 in a seasonal tropical floodplain",Environmental Chemistry Letters,2013,10.1007/s10311-013-0421-7,Wetlands
33,"A. M. Bass, D. O'Grady, M. Leblanc, S. Tweed, P. N. Nelson and M. I. Bird",Carbon dioxide and methane emissions from a wet-dry tropical floodplain in northern Australia,WETLANDS,2014,10.1007/s13157-014-0522-5,Wetlands
34,"D. Bastviken, A. L. Santoro, H. Marotta, L. Q. Pinho, D. F. Calheiros, P. Crill and A. Enrich-Prast","Methane emissions from pantanal, South America, during the low water season: Toward more comprehensive sampling",Environmental Science and Technology,2010,10.1021/es1005048,Wetlands
35,"M. S. Begum, M. J. Bogard, D. E. Butman, E. Chea, S. Kumar, X. Lu, O. K. Nayna, L. Ran, J. E. Richey, S. M. Tareq, D. T. Xuan, R. Yu and J. H. Park",Localized Pollution Impacts on Greenhouse Gas Dynamics in Three Anthropogenically Modified Asian River Systems,Journal of Geophysical Research: Biogeosciences,2021,10.1029/2020JG006124,Rivers
36,"L. Belger, B. R. Forsberg and J. M. Melack","Carbon dioxide and methane emissions from interfluvial wetlands in the upper Negro River basin, Brazil",BIOGEOCHEMISTRY,2011,10.1007/s10533-010-9536-0,Wetlands
37,"R. F. Benassi, T. A. de Jesus, L. H. G. Coelho, W. S. Hanisch, M. R. Domingues, R. H. Taniwaki, T. A. G. Peduto, D. O. da Costa, M. L. M. Pompêo and W. J. Mitsch","Eutrophication effects on CH4 and CO2 fluxes in a highly urbanized tropical reservoir (Southeast, Brazil)",ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2021,10.1007/s11356-021-13573-7,Lakes
38,"J. Beringer, S. J. Livesley, J. Randle and L. B. Hutley",Carbon dioxide fluxes dominate the greenhouse gas exchanges of a seasonal wetland in the wet-dry tropics of Northern Australia,AGRICULTURAL AND FOREST METEOROLOGY,2013,10.1016/j.agrformet.2013.06.008,Wetlands
39,"D. J. Bertassoli, H. O. Sawakuchi, K. R. De Araújo, M. G. P. De Camargo, V. A. T. Alem, T. S. Pereira, A. V. Krusche, D. Bastviken, J. E. Richey and A. O. Sawakuchi",How green can Amazon hydropower be? Net carbon emission from the largest hydropower plant in Amazonia,Science Advances,2021,10.1126/sciadv.abe1470,Rivers; Lakes
40,"M. P. Bezerra, D. F. McGinnis, J. F. Bezerra-Neto and F. A. R. Barbosa",Is it stochastic?Chaoboruslarvae bioturbation likely affect the timing of daily methane (CH4) ebullitive flux in a tropical reservoir,HYDROBIOLOGIA,2020,10.1007/s10750-020-04331-w,Lakes
41,"S. Bhattacharyya, A. Chanda, S. Das, A. Akhand, S. Pattanaik, S. B. Choudhury, D. Dutta and S. Hazra",Nutrient Removal Vis-a-Vis Change in Partial Pressure of CO2 During Post-Monsoon Season in a Tropical Lentic and Lotic Aquatic Body: A Comparative Study,EARTH SYSTEMS AND ENVIRONMENT,2018,10.1007/s41748-018-0045-y,Rivers
42,"S. Bhattacharyya, S. Hazra, S. Das, S. Samanta, A. Mukhopadhyay, D. Dutta, S. B. Choudhury and A. Chanda",Characterizing nutrient dynamics with relation to changes in partial pressure of CO2 in a tropical sewage-fed aquaculture pond situated in a Ramsar wetland,WATER AND ENVIRONMENT JOURNAL,2020,10.1111/wej.12459,Wetlands
45,"A. V. Borges, G. Abril, F. Darchambeau, C. R. Teodoru, J. Deborde, L. O. Vidal, T. Lambert and S. Bouillon",Divergent biophysical controls of aquatic CO2 and CH4 in the World's two largest rivers,SCIENTIFIC REPORTS,2015,10.1038/srep15614,Rivers; Lakes
46,"A. V. Borges, G. Abril, B. Delille, J. P. Descy and F. Darchambeau",Diffusive methane emissions to the atmosphere from Lake Kivu (Eastern Africa),Journal of Geophysical Research: Biogeosciences,2011,10.1029/2011JG001673,Lakes
47,"A. V. Borges, F. Darchambeau, T. Lambert, C. Morana, G. H. Allen, E. Tambwe, A. Toengaho Sembaito, T. Mambo, J. Nlandu Wabakhangazi and J.-P. Descy","Variations in dissolved greenhouse gases (CO2, CH4, N2O) in the Congo River network overwhelmingly driven by fluvial-wetland connectivity",BIOGEOSCIENCES,2019,10.5194/bg-16-3801-2019,Rivers
48,"A. V. Borges, F. Darchambeau, C. R. Teodoru, T. R. Marwick, F. Tamooh, N. Geeraert, F. O. Omengo, F. Guérin, T. Lambert and C. Morana",Globally significant greenhouse-gas emissions from African inland waters,Nature Geoscience,2015,10.1038/ngeo2486,Rivers
49,"A. V. Borges, C. Morana, S. Bouillon, P. Servais, J. P. Descy and F. Darchambeau",Carbon cycling of Lake Kivu (East Africa): Net autotrophy in the epilimnion and emission of CO2 to the atmosphere sustained by geogenic inputs,PLOS ONE,2014,10.1371/journal.pone.0109500,Lakes
50,"S. Bouillon, G. Abril, A. V. Borges, F. Dehairs, G. Govers, H. J. Hughes, R. Merckx, F. J. R. Meysman, J. Nyunja, C. Osburn and J. J. Middelburg","Distribution, origin and cycling of carbon in the Tana River (Kenya): a dry season basin-scale survey from headwaters to the delta",BIOGEOSCIENCES,2009,10.5194/bg-6-2475-2009,Rivers; Lakes
51,"S. Bouillon, A. Yambélé, D. P. Gillikin, C. Teodoru, F. Darchambeau, T. Lambert and A. V. Borges",Contrasting biogeochemical characteristics of the Oubangui River and tributaries (Congo River basin),SCIENTIFIC REPORTS,2014,10.1038/srep05402,Rivers
52,"S. Bouillon, A. Yambele, R. G. M. Spencer, D. P. Gillikin, P. J. Hernes, J. Six, R. Merckx and A. V. Borges","Organic matter sources, fluxes and greenhouse gas exchange in the Oubangui River (Congo River basin)",BIOGEOSCIENCES,2012,10.5194/bg-9-2045-2012,Rivers
53,"I. L. D. Brandao, C. M. Mannaerts, I. W. D. Brandao, J. C. B. Queiroz, W. Verhoef, A. C. F. Saraiva and H. A. Dantas",Conjunctive use of in situ gas sampling and chromatography with geospatial analysis to estimate greenhouse gas emissions of a large Amazonian hydroelectric reservoir,SCIENCE OF THE TOTAL ENVIRONMENT,2019,10.1016/j.scitotenv.2018.08.403,Lakes
54,"E. Calamita, A. Siviglia, G. M. Gettel, M. J. Franca, R. S. Winton, C. R. Teodoru, M. Schmid, B. Wehrli and A. Rinaldo",Unaccounted CO2 leaks downstream of a large tropical reservoir,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2021,10.1073/pnas.2026004118|1of8,Rivers; Lakes
55,"M. Call, C. J. Sanders, A. Enrich-Prast, L. Sanders, H. Marotta, I. R. Santos and D. T. Maher",Radon_traced pore_water as a potential source of CO2 and CH4 to receding black and clear water environments in the Amazon Basin,Limnology and Oceanography Letters,2018,10.1002/lol2.10089,Rivers; Lakes
56,"C. N. Chan, C. L. Tsang, F. Lee, B. Liu and L. Ran",Rapid Loss of Dissolved CO2 From a Subtropical Steep Headwater Stream,Frontiers in Earth Science,2021,10.3389/feart.2021.741678,Rivers
57,"A. Chanda, S. Das, S. Bhattacharyya, A. Akhand, I. Das, S. Samanta, S. B. Choudhury and S. Hazra",CO2 effluxes from an urban tidal river flowing through two of the most populated and polluted cities of India,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2020,10.1007/s11356-020-09254-6,Rivers
58,"A. Chanda, S. Das, S. Bhattacharyya, I. Das, S. Giri, A. Mukhopadhyay, S. Samanta, D. Dutta, A. Akhand, S. B. Choudhury and S. Hazra",CO2 fluxes from aquaculture ponds of a tropical wetland: Potential of multiple lime treatment in reduction of CO2 emission,SCIENCE OF THE TOTAL ENVIRONMENT,2019,10.1016/j.scitotenv.2018.11.332,Lakes
59,"V. Chanudet, S. Descloux, A. Harby, H. Sundt, B. H. Hansen, O. Brakstad, D. Serca and F. Guerin",Gross CO2 and CH4 emissions from the Nam Ngum and Nam Leuk sub-tropical reservoirs in Lao PDR,SCIENCE OF THE TOTAL ENVIRONMENT,2011,10.1016/j.scitotenv.2011.09.018,Lakes
60,"N. W. Chen, Z. H. Chen, Y. Q. Wu and A. Y. Hu",Understanding gaseous nitrogen removal through direct measurement of dissolved N-2 and N2O in a subtropical river-reservoir system,ECOLOGICAL ENGINEERING,2014,10.1016/j.ecoleng.2014.04.017,Rivers; Lakes
61,"N. W. Chen, J. H. Wu, X. P. Zhou, Z. H. Chen and T. Lu","Riverine N2O production, emissions and export from a region dominated by agriculture in Southeast Asia (Jiulong River)",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,10.1016/j.agee.2015.04.024,Rivers
62,"F. Colas, V. Chanudet, M. Daufresne, L. Buchet, R. Vigouroux, A. Bonnet, F. Jacob and J. M. Baudoin",Spatial and Temporal Variability of Diffusive CO2 and CH4 Fluxes From the Amazonian Reservoir Petit-Saut (French Guiana) Reveals the Importance of Allochthonous Inputs for Long-Term C Emissions,GLOBAL BIOGEOCHEMICAL CYCLES,2020,10.1029/2020GB006602,Lakes
63,"J. T. Crawford, E. H. Stanley, M. M. Dornblaser and R. G. Striegl",CO2 time series patterns in contrasting headwater streams of North America,AQUATIC SCIENCES,2017,10.1007/s00027-016-0511-2,Rivers
64,"P. M. Crill, K. B. Bartlett, J. O. Wilson, D. I. Sebacher, R. C. Harriss, J. M. Melack, S. Macintyre, L. Lesack and L. Smithmorrill",TROPOSPHERIC METHANE FROM AN AMAZONIAN FLOODPLAIN LAKE,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1988,10.1029/JD093iD02p01564,Lakes
65,"M. P. Curtarelli, I. Ogashawara, C. A. S. de Araujo, J. A. Lorenzzetti, J. A. D. Leao, E. Alcantara and J. L. Stech",Carbon dioxide emissions from Tucurui reservoir (Amazon biome): New findings based on three-dimensional ecological model simulations,SCIENCE OF THE TOTAL ENVIRONMENT,2016,10.1016/j.scitotenv.2016.02.001,Lakes
66,"E. N. D. da Costa, J. C. de Souza, M. A. Pereira, M. F. L. de Souza, W. F. L. de Souza and D. M. L. da Silva ",Carbon dynamics in small tropical catchments under preserved forest and cacao agroforestry systems,Agroforestry Systems,2021,10.1007/s10457-021-00671-1,Rivers
67,"M. G. da Silva, A. P. Packer, F. G. Sampaio, L. Marani, E. V. C. Mariano, R. A. A. Pazianotto, W. J. Ferreira and P. C. Alvala",Impact of intensive fish farming on methane emission in a tropical hydropower reservoir,CLIMATIC CHANGE,2018,10.1007/s10584-018-2281-4,Lakes
68,"H. J. Dalmagro, M. J. Lathuillière, I. Hawthorne, D. D. Morais, O. B. Pinto, E. G. Couto and M. S. Johnson",Carbon biogeochemistry of a flooded Pantanal forest over three annual flood cycles,BIOGEOCHEMISTRY,2018,10.1007/s10533-018-0450-1,Wetlands
69,"M. das Neves Lopes, C. J. Decarli, L. Pinheiro-Silva, T. C. Lima, N. K. Leite and M. M. Petrucio",Urbanization increases carbon concentration and pCO2 in subtropical streams,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2020,10.1007/s11356-020-08175-8,Rivers
70,R. Das and A. Krishnakumar,"Implications of Methane Emissions in Biogeochemical Budgeting: A Study from a Tropical Wetland System, Kerala, India",ENVIRONMENTAL ENGINEERING SCIENCE,2021,10.1089/ees.2021.0121,Lakes
71,"E. A. Davidson, R. O. Figueiredo, D. Markewitz and A. K. Aufdenkampe",Dissolved CO2 in small catchment streams of eastern Amazonia: A minor pathway of terrestrial carbon loss,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2010,10.1029/2009JG001202,Rivers
72,"K. R. de Araujo, H. O. Sawakuchi, D. J. Bertassoli, A. O. Sawakuchi, K. D. da Silva, T. B. Vieira, N. D. Ward and T. S. Pereira","Carbon dioxide (CO2) concentrations and emission in the newly constructed Belo Monte hydropower complex in the Xingu River, Amazonia",BIOGEOSCIENCES,2019,10.5194/bg-16-3527-2019,Rivers; Lakes
73,"M. De Fátima F. L. Rasera, M. Victoria R. Ballester, A. V. Krusche, C. Salimon, L. A. Montebelo, S. R. Alin, R. L. Victoria and J. E. Richey",Estimating the surface area of small rivers in the southwestern amazon and their role in CO2 outgassing,Earth Interactions,2008,10.1175/2008EI257.1,Rivers
74,"I. B. T. de Lima, E. Novo, M. V. R. Ballester and J. P. Ometto","Role of the macrophyte community in CH4 production and emission in the tropical reservoir of Tucurui, Para State, Brazil",Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2001,10.1080/03680770.1998.11901474,Lakes
75,"N. de Mello, L. S. Brighenti, F. A. R. Barbosa, P. A. Staehr and J. F. B. Neto",Spatial variability of methane (CH4) ebullition in a tropical hypereutrophic reservoir: silted areas as a bubble hot spot,LAKE AND RESERVOIR MANAGEMENT,2018,10.1080/10402381.2017.1390018,Lakes
76,"C. Galy-Lacaux, R. Delmas, C. Jambert, J. F. Dumestre, L. Labroue, S. Richard and P. Gosse",Gaseous emissions and oxygen consumption in hydroelectric dams: A case study in French Guyana,GLOBAL BIOGEOCHEMICAL CYCLES,1997,10.1029/97GB01625,Lakes
77,"T. Delsontro, M. J. Kunz, T. Kempter, A. Wüest, B. Wehrli and D. B. Senn",Spatial heterogeneity of methane ebullition in a large tropical reservoir,Environmental Science and Technology,2011,10.1021/es2005545,Lakes
78,"N. J. DeLucia, N. Gomez-Casanovas, E. H. Boughton and C. J. Bernacchi",The Role of Management on Methane Emissions From Subtropical Wetlands Embedded in Agricultural Ecosystems,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2019,10.1029/2019JG005132,Wetlands
79,"K. B. Delwiche, S. H. Knox, A. Malhotra, E. Fluet-Chouinard, G. McNicol, S. Feron, Z. Ouyang, D. Papale, C. Trotta, E. Canfora, Y.-W. Cheah, D. Christianson, M. C. R. Alberto, P. Alekseychik, M. Aurela, D. Baldocchi, S. Bansal, D. P. Billesbach, G. Bohrer, R. Bracho, N. Buchmann, D. I. Campbell, G. Celis, J. Chen, W. Chen, H. Chu, H. J. Dalmagro, S. Dengel, A. R. Desai, M. Detto, H. Dolman, E. Eichelmann, E. Euskirchen, D. Famulari, K. Fuchs, M. Goeckede, S. Gogo, M. J. Gondwe, J. P. Goodrich, P. Gottschalk, S. L. Graham, M. Heimann, M. Helbig, C. Helfter, K. S. Hemes, T. Hirano, D. Hollinger, L. Hörtnagl, H. Iwata, A. Jacotot, G. Jurasinski, M. Kang, K. Kasak, J. King, J. Klatt, F. Koebsch, K. W. Krauss, D. Y. F. Lai, A. Lohila, I. Mammarella, L. Belelli Marchesini, G. Manca, J. H. Matthes, T. Maximov, L. Merbold, B. Mitra, T. H. Morin, E. Nemitz, M. B. Nilsson, S. Niu, W. C. Oechel, P. Y. Oikawa, K. Ono, M. Peichl, O. Peltola, M. L. Reba, A. D. Richardson, W. Riley, B. R. K. Runkle, Y. Ryu, T. Sachs, A. Sakabe, C. R. Sanchez, E. A. Schuur, K. V. R. Schäfer, O. Sonnentag, J. P. Sparks, E. Stuart-Haëntjens, C. Sturtevant, R. C. Sullivan, D. J. Szutu, J. E. Thom, M. S. Torn, E.-S. Tuittila, J. Turner, M. Ueyama, A. C. Valach, R. Vargas, A. Varlagin, A. Vazquez-Lule, J. G. Verfaillie, T. Vesala, G. L. Vourlitis, E. J. Ward, C. Wille, G. Wohlfahrt, G. X. Wong, Z. Zhang, D. Zona, L. Windham-Myers, B. Poulter and R. B. Jackson","FLUXNET-CH4: a global, multi-ecosystem dataset and analysis of methane seasonality from freshwater wetlands",Earth System Science Data,2021,10.5194/essd-13-3607-2021,Lakes
80,"C. Deshmukh, F. Guerin, D. Labat, S. Pighini, A. Vongkhamsao, P. Guedant, W. Rode, A. Godon, V. Chanudet, S. Descloux and D. Serca","Low methane (CH4) emissions downstream of a monomictic subtropical hydroelectric reservoir (Nam Theun 2, Lao PDR)",BIOGEOSCIENCES,2016,10.5194/bg-13-1919-2016,Rivers
81,"C. Deshmukh, D. Serca, C. Delon, R. Tardif, M. Demarty, C. Jarnot, Y. Meyerfeld, V. Chanudet, P. Guedant, W. Rode, S. Descloux and F. Guerin",Physical controls on CH4 emissions from a newly flooded subtropical freshwater hydroelectric reservoir: Nam Theun 2,BIOGEOSCIENCES,2014,10.5194/bg-11-4251-2014,Lakes
83,"A. H. Devol, P. D. Quay, J. E. Richey and L. A. Martinelli","The role of gas exchange in the inorganic carbon, oxygen, and 222Rn budgets of the Amazon River",LIMNOLOGY AND OCEANOGRAPHY,1987,10.4319/lo.1987.32.1.0235,Rivers
84,"A. H. Devol, J. E. Richey, W. A. Clark, S. L. King and L. A. Martinelli",METHANE EMISSIONS TO THE TROPOSPHERE FROM THE AMAZON FLOODPLAIN,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,1988,10.1029/JD093iD02p01583,Lakes
86,"A. H. Devol, B. R. Forsberg, J. E. Richey and T. P. Pimentel",Seasonal variation in chemical distributions in the Amazon (Solimões) River: A multiyear time series,GLOBAL BIOGEOCHEMICAL CYCLES,1995,10.1029/95GB01145,Rivers
87,"M. A. dos Santos, M. A. Amorim, J. E. L. Maddock, A. C. Lessa, J. M. Damazio, A. M. de Medeiros and O. Marques",Pre-existing greenhouse gas emissions from Brazilian hydropower reservoirs,ECOHYDROLOGY & HYDROBIOLOGY,2019,10.1016/j.ecohyd.2019.02.004,Rivers
89,"E. Duchemin, M. Lucotte, R. Canuel, A. G. Queiroz, D. C. Almeida, H. C. Pereira and J. Dezincourt",Comparison of greenhouse gas emissions from an old tropical reservoir with those from other reservoirs worldwide,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2001,10.1080/03680770.1998.11901464,Lakes
90,"C. Duvert, M. Bossa, K. J. Tyler, J. G. Wynn, N. C. Munksgaard, M. I. Bird, S. A. Setterfield and L. B. Hutley",Groundwater-Derived DIC and Carbonate Buffering Enhance Fluvial CO2 Evasion in Two Australian Tropical Rivers,Journal of Geophysical Research: Biogeosciences,2019,10.1029/2018JG004912,Rivers
91,"C. Duvert, D. E. Butman, A. Marx, O. Ribolzi and L. B. Hutley",CO2 evasion along streams driven by groundwater inputs and geomorphic controls,Nature Geoscience,2018,10.1038/s41561-018-0245-y,Rivers
92,"C. Duvert, L. B. Hutley, J. Beringer, M. I. Bird, C. Birkel, D. T. Maher, M. Northwood, M. Rudge, S. A. Setterfield and J. G. Wynn",Net landscape carbon balance of a tropical savanna: Relative importance of fire and aquatic export in offsetting terrestrial production,GLOBAL CHANGE BIOLOGY,2020,10.1111/gcb.15287,Rivers
94,W. Eckert and R. Conrad,Sulfide and methane evolution in the hypolimnion of a subtropical lake: a three-year study,BIOGEOCHEMISTRY,2007,10.1007/s10533-006-9053-3,Lakes
95,D. Engle and J. M. Melack,Methane emissions from an Amazon floodplain lake: Enhanced release during episodic mixing and during falling water,BIOGEOCHEMISTRY,2000,10.1023/A:1006389124823,Lakes
