site_numeric,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
3776,958.7633333333332,455.7666666666667,0,5.152936239402572,145.9882667541504
3778,1073.5,612.2,0,2.346490801956061,714.0635070800781
3779,1081.8662921348314,554.3516853932583,0,4.725490025468266,187.94784927368164
3780,993.2106976744186,477.20790697674414,0,2.797489920788725,145.9882667541504
3781,1181.0839526749874,506.2551710783662,0,0,28.54685926437378
3782,993.2106976744186,477.20790697674414,0,2.797489920788725,145.9882667541504
3786,1181.0839526749874,506.2551710783662,0,0,28.54685926437378
3787,1181.0839526749874,506.2551710783662,0,0,28.54685926437378
3788,1194.5198547622613,587.218161536031,0,0,28.54685926437378
3789,1194.5198547622613,587.218161536031,0,0,28.54685926437378
3790,1181.0839526749874,506.2551710783662,0,0,28.54685926437378
3792,1194.5198547622613,587.218161536031,0,0,28.54685926437378
3797,1113.2363636363636,671.7282828282829,0,2.311247598499645,714.0635070800781
3802,1058.8143790849674,464.1712418300654,0,1.0582497046050665,54.84833850860595
3803,1058.8143790849674,464.1712418300654,0,1.0582497046050665,54.84833850860595
3804,1073.5,612.2,0,2.346490801956061,714.0635070800781
3805,1073.5,612.2,0,2.346490801956061,714.0635070800781
3806,1052.7400673897746,501.9353560844724,0,0,145.9882667541504
3807,1022.3435483870968,496.9516129032258,0,0,145.9882667541504
3809,1190.6257969860403,505.492719487828,0,0,28.54685926437378
3815,1031.1163165266107,607.1274509803922,0,0,714.0635070800781
3817,1093.225,554.5183333333333,0,7.232396372376593,428.9647918701172
3818,1188.5114839062155,503.0937370904198,0,0,28.54685926437378
3820,1222.9098283276687,508.66049725138737,0,0,28.54685926437378
3823,1188.5114839062155,503.0937370904198,0,0,28.54685926437378
3824,1135.12,710.812,0,0,117.71642303466795
3834,1111.3475247524757,575.1841584158416,0,7.232396372376593,428.9647918701172
3842,1113.2363636363636,671.7282828282829,0,2.311247598499645,714.0635070800781
3843,1113.2363636363636,671.7282828282829,0,2.311247598499645,714.0635070800781
3844,1113.2363636363636,671.7282828282829,0,2.311247598499645,714.0635070800781
3848,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3849,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3852,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3855,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3856,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3857,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3858,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3860,1167.5776981858503,489.7712202992918,0,0,28.54685926437378
3862,969.2889989357624,440.11366555324093,0,3.1610344608360457,145.9882667541504
3863,1130.397333333333,672.2306666666667,0,0,714.0635070800781
3866,947.506046037296,502.0545600233101,0,4.778924195116764,428.9647918701172
3868,969.2889989357624,440.11366555324093,0,3.1610344608360457,145.9882667541504
3870,699.6272727272728,418.35454545454553,0,5.659157766491934,428.9647918701172
3872,947.506046037296,502.0545600233101,0,4.778924195116764,428.9647918701172
3875,975.077180726191,446.02389723629193,0,0.9017904885789028,145.9882667541504
3877,960.9267358281486,430.14225063161115,0,2.136001447038202,54.84833850860595
3878,960.9267358281486,430.14225063161115,0,2.136001447038202,54.84833850860595
3883,947.506046037296,502.0545600233101,0,4.778924195116764,428.9647918701172
