site_numeric,continent,COMID,lengthkm,slope_grades,upstream_area_grades,order_grades,NextDownID,distance_snapped,lat,lon,slope,q_jan,q_feb,q_mar,q_apr,q_may,q_jun,q_jul,q_aug,q_sep,q_oct,q_nov,q_dec,runoff_yr
91,Africa,18005719,33947.4,0.014831752,1675382.1,2,33277,5.79602463,47.91822,-18.911615,0.014831752,9.495538712,10.82587719,8.579040527,5.163522243,3.934462786,3.029959202,2.467148542,1.992462516,1.630186558,2.016153574,2.867118835,5.482468128,2.273225498
92,Africa,18005991,7760.2,0.002525717,381698.7,1,32557,32.0762572,48.42775,-18.90317,0.002525717,3.654068947,5.069848537,3.750431061,1.849310756,1.298368573,0.869266272,0.937932611,0.797880471,0.596717119,0.461641401,0.481784791,1.268081069,2.717611237
93,Africa,18006298,22001.1,7.09E-04,31081582,4,35798,80.75090042,48.107,-18.87656,7.09E-04,132.8283691,178.5391846,140.0545807,73.51431274,48.90516663,35.07833099,33.25169754,29.35626221,25.36682892,26.62214661,33.23347092,62.4709816,2.717611237
94,Africa,18005679,19845,4.28E-04,10108479,3,36157,52.71223483,47.32506,-18.87325,4.28E-04,46.05459213,50.09770584,40.42990875,23.21933174,12.16772175,7.38249588,5.853347778,4.648015976,4.228411198,7.782166481,13.47106075,26.52285004,2.219717288
95,Africa,18005660,12928.2,0.00173264,3004138.2,2,36217,33.67835971,48.06264,-18.86447,0.00173264,17.04145622,19.63822174,15.24464989,8.712272644,6.385464668,4.852206707,4.063858032,3.422283173,2.910824299,3.52349782,4.919668198,9.443664551,2.717611237
96,Africa,18005591,9447.4,8.47E-05,49377280,5,37717,9.528423724,49.072902,-18.82389,8.47E-05,395.8945618,586.072876,528.1411133,321.29245,213.8295288,152.2365417,174.6603394,138.3299866,103.0754929,77.32410431,70.66022491,147.2248535,3.274292027
97,Africa,18005617,7313.1,1.64E-04,23726188,4,36217,44.29948478,48.091246,-18.80636,1.64E-04,88.11695862,121.4887772,95.50656128,49.83122635,32.67333984,23.33927536,22.48028183,19.87247086,17.31195068,18.00142479,22.17213058,41.00682449,2.717611237
98,Africa,18005594,16349,1.47E-04,39157032,5,37537,76.68773753,48.99472,-18.76739,1.47E-04,311.7297058,466.053894,407.4885559,238.6171265,157.3180695,109.7871323,126.7099228,100.8180008,74.80688477,55.24577713,50.9033432,110.6276474,3.274292027
99,Africa,18006096,20831.8,0.003869078,694297.4,1,35197,14.72956481,48.8825,-18.76186,0.003869078,6.724174976,10.22389221,9.827172279,6.477118492,4.272310734,3.151355505,3.726373672,2.873589277,2.062371016,1.471078634,1.270602345,2.58156085,3.624794495
100,Africa,18005634,2882.1,0.001665466,21722690,4,37357,5.91314881,48.9662,-18.74039,0.001665466,184.9234161,270.4631958,222.1473541,122.0314178,82.03311157,55.83369446,63.1231575,51.37179947,38.40293503,29.69803238,28.78745842,65.82187653,3.624794495
