Refs,Site,LakeIndex,Latitude,Longitude,LakeType,LakeArea_km2,Climate,k600_md,MeasFreq,ReportedFreq,DirectIndirect_CO2,FluxMethod,CO2_uM,n_CO2,F_CO2_mmol_m2_d,n_FCO2,F_CO2_measmod_mmol_m2_d,CH4_uM,n_CH4,F_CH4_diff_mmol_m2_d,n_FCH4diff,F_CH4_measmod_mmol_m2_d,F_CH4_eb_mmol_m2_d,n_FCH4eb,N2O_uM,n_N2O,F_N2O_mmol_m2_d,n_FN2O,F_N2O_measmod_mmol_m2_d,Temp_C,DO_mgL,pH,Cond_uScm
103; 104; 105; 106; 210; 3; 5; 62; 76; 97,"Petit Saut; Petit Saut - all open waters; Petit Saut - all openwaters; Petit Saut - all stations; Petit Saut - roche genipa station; Petit Saut Reservoir; Petit Saut reservoir; Petit Saut reservoir, site Crique Bonne Nouvelle (CBN); Petit Saut reservoir, site Fort inonde (FI); Petit Saut reservoir, site Petit Saut Boue (BPS); PetitSaut 1; PetitSaut 10; PetitSaut 11; PetitSaut 12; PetitSaut 13; PetitSaut 14; PetitSaut 15; PetitSaut 16; PetitSaut 17; PetitSaut 18; PetitSaut 19; PetitSaut 2; PetitSaut 20; PetitSaut 21; PetitSaut 22; PetitSaut 23; PetitSaut 24; PetitSaut 25; PetitSaut 26; PetitSaut 27; PetitSaut 28; PetitSaut 29; PetitSaut 3; PetitSaut 30; PetitSaut 31; PetitSaut 32; PetitSaut 33; PetitSaut 34; PetitSaut 35; PetitSaut 36; PetitSaut 37; PetitSaut 38; PetitSaut 39; PetitSaut 4; PetitSaut 40; PetitSaut 41; PetitSaut 42; PetitSaut 43; PetitSaut 44; PetitSaut 5; PetitSaut 6; PetitSaut 7; PetitSaut 8; PetitSaut 9",55,4.959007396,-53.0332404,reservoir,41.57,1,0.960649561,monthly,seasonal,direct,measured,68.75832292,66,240.9299309,20,240.9299309,193.234294,145,28.86281903,31,28.86281903,4209.756648,31,,0,0.11225,4,0.11225,26.8766,5.782045455,6.393181818,25.3025
190; 89,Curua-Un; Curu-Una Reservoir,56,-2.8499924,-54.345356,reservoir,64.67,1,0.861904885,seasonal,seasonal,direct,measured,27.90689034,2,176.6231871,5,176.6231871,0.012711656,2,1.16587295,5,1.16587295,3.940832015,3,,0,,0,,29.305,6.375,,
104; 141,Samuel; Samuel reservoir,57,-8.762177,-63.433759,reservoir,54.07,1,2.457854372,seasonal,seasonal,direct,measured,151.7504365,1,927.2806594,2,927.2806594,1.9,1,3.178544667,2,3.178544667,,0,,0,0.685224839,1,0.685224839,30,,,
216,Manso hydroelectric reservoir,58,-14.8666667,-55.75,reservoir,49.39,2,0.923822702,seasonal,seasonal,direct,modelled,40.45012043,2,20.5,2,20.5,,0,,0,,,0,,0,,0,,,,,
203,Corumba,59,-17.769725,-48.559591,reservoir,38.83,2,1.044068621,single,single,,measured,,0,,0,,,0,89.91757556,1,89.91757556,,0,,0,,0,,,,,
212; 216,Estreito Reservoir; Luiz Carlos Barreto de Carvalho hydroelectric reservoir,60,-20.15291967,-47.27389233,reservoir,42.5,2,1.068541903,seasonal,seasonal,direct,modelled,44.26962983,3,23,1,23,0.059850374,2,,0,0.061180262,,0,,0,,0,,21.84,7.4,,
1,"lbitinga reservoir, site IB-DAM; lbitinga reservoir, site IB-UPS",61,-21.766667,-48.983333,reservoir,91.59,2,1.255416142,seasonal,seasonal,,measured,,0,-0.08,4,-0.08,,0,0.7325,4,0.7325,,0,,0,0.045,4,0.045,25.455,,8.3925,
144; 187; 190; 216,Funil Reservoir; Funil hydroelectric reservoir; Funil reservoir; Funil reservoir - Lacustrine Zone; Funil reservoir - Riverine Zone; Funil reservoir - Transition Zone; Furnas Reservoir,62,-22.53364811,-44.58787663,reservoir,29.97,4,0.980534477,seasonal,seasonal,direct,measured,22.46405557,10,5.851875,16,5.851875,0.019404423,4,0.81,4,0.81,15.78830516,3,,0,,0,,23.23714286,4.98,,
331,Guarapiranga,63,-23.723181,-46.73316,reservoir,23.64,5,1.125034071,monthly,monthly,,measured,,0,,0,,,0,24.79350686,4,24.79350686,,0,,0,,0,,,,,
151; 37,Rio Grande reservoir - eutrophic stations; Rio Grande reservoir - hypereutrophic stations; S1 dry; S1 wet; S2 dry; S3 dry and wet,64,-23.73624517,-46.45338867,reservoir,99.72,5,1.30301929,seasonal,seasonal,,measured,,0,6.904781728,6,6.904781728,,0,122.120348,6,122.120348,,0,,0,,0,,23.72,8.2975,8.245,143.6
176; 177,"Bhakra- Nangal; Bhakra-Nangal, Himachal Pradesh Reservoir",65,31.4138425,76.460601,reservoir,91.94,4,0.902740627,seasonal,seasonal,,undefined,,0,,0,,0.4,2,,0,0.336613418,,0,0.01123,1,,0,0.009076722,,,,
1141,Gucheng Lake,66,31.29,118.94,lake,30.74,4,1.312353289,single,single,,measured,,0,13.41513292,1,13.41513292,,0,9.082294264,1,9.082294264,,0,,0,,0,,29.7,,7.9,
1033; 1141,Dianshan Lake; Dianshan Lake-1; Dianshan Lake-2; Dianshan Lake-3; Dianshan Lake-4; Dianshan Lake-5; Dianshan Lake-6; Dianshan Lake-7; Dianshan Lake-8; Dianshan Lake-9,67,31.1316021,120.9936805,lake,62.19,4,1.42166437,single,single,direct,measured,61.58968192,9,35.67861622,10,35.67861622,,0,20.79800499,1,20.79800499,,0,,0,,0,,30.792,6.268888889,7.669,
322,Zhanghe,68,31.0794596,111.9613076,reservoir,20.8,4,1.073374227,monthly,monthly,direct,modelled,53.06663322,22,176.83911,22,176.83911,0.702741579,22,2.584284274,22,2.584284274,,0,0.009994033,22,-0.000512458,22,-0.000512458,19.56818182,9.466411377,8.346045455,318.6363636
1141,Baidang Lake,70,30.81095,117.374538,lake,37.52,4,1.269602019,single,single,,measured,,0,-1.695978187,1,-1.695978187,,0,0.216957606,1,0.216957606,,0,,0,,0,,30.7,,8.5,
1141; 1224,Caizi Lake,71,30.78,117.12,lake,71.47,4,1.275293949,single,single,direct,measured,26.2,1,3.089053033,2,3.089053033,0.28,1,0.40921197,2,0.40921197,,0,,0,,0,,23.8,7.32,7.3,
1016; 1035; 1037,Huanglingmiao; Sandouping; Xilingqiao; Yichang; Zigui,72,30.82786667,111.0716,reservoir,52.42,4,1.105991439,monthly,monthly,,measured,,0,121.7046022,18,121.7046022,,0,0.567373333,30,0.567373333,,0,,0,,0,,18.83831522,7.087847755,7.92625,
1141; 269; 270,East Lake; Lake Donghu,73,30.55,114.3806231,lake,24.28,4,1.144404745,fortnightly,fortnightly,,measured,,0,20.68521488,5,20.68521488,,0,17.89891751,26,17.89891751,,0,,0,,0,,30.01363636,7.3525,8.7,
1090; 1116,Geheyan,74,30.42,111.117,reservoir,40.9,4,1.072576891,monthly,monthly,,measured,,0,111.2829906,12,111.2829906,,0,,0,,,0,,0,,0,,,,,
176; 35,Ganges_G2; Tehri,75,30.405168,78.4696735,reservoir,18.89,4,2.062361673,seasonal,annual,direct,modelled,,0,,0,,0.018,2,-0.316709683,1,-0.316709683,,0,0.009145,2,0.013097787,1,0.013097787,28,8.8,8.66,86
1191,Sancha,76,30.2598,104.27379,lake,35.54,4,0.875098518,single,single,,undefined,,0,,0,,0.0612,1,,0,0.047984784,,0,,0,,0,,,,,
1007,Biandan Pond,77,30.25,114.716,reservoir,44.5,4,1.181221952,single,single,,measured,,0,88.98509699,3,88.98509699,,0,1.751727583,3,1.751727583,,0,,0,,0,,7.67,,8.326666667,
1207,Qingshan,78,30.239,119.78,reservoir,12.27,4,1.20469097,single,single,indirect,modelled,43.6091677,1,36.7,1,36.7,,0,,0,,,0,,0,,0,,20.3,,8.2,
1224,Daye Lake,79,30.102,115.094,lake,60.73,4,1.214084564,single,single,direct,modelled,33.13,1,10.3728,1,10.3728,0.26,1,1.4976,1,1.4976,,0,,0,,0,,14.6,8.26,,
254,site4,80,30.004567,106.968039,reservoir,12.97,4,0.888492972,seasonal,annual,indirect,modelled,29.24054978,1,11.6,1,11.6,1.26,1,0.27,1,0.27,,0,0.018,1,0.029,1,0.029,,,,
