site_numeric,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,River_width,catchment_area_snapped,catchment_area_h90m,order_h90,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
3288,106.652367,30.006883,106.6529167,30.00791667,126.6810457,NA,23,51.9157486,0.011353837,4,NA,4,0.012965,325
3291,107.112641,30.016465,107.1129167,30.01541667,119.6867567,NA,13,129.9927979,129.9637756,5,5,5,0,326
3292,117.168986,30.021407,117.1679167,30.02125,104.5387594,NA,13,55.37714767,0.00743439,5,NA,5,0,81
3293,106.661015,30.026237,106.6604167,30.02458333,192.9066885,NA,19,48.29924774,48.220047,4,4,4,0,333
3294,108.1927,30.030556,108.1920833,30.03208333,180.1098229,NA,19.5,103.6222153,0.024601713,5,NA,5,0.036371,624
3295,107.123056,30.033056,107.12125,30.03375,190.4251816,NA,14,92.51678467,0.008742752,5,NA,5,0.013856,335
3296,107.122631,30.033188,107.12125,30.03375,147.0618373,NA,13,92.51678467,0.008742752,5,NA,5,0.013856,335
3300,-95.763059,30.086966,-95.76208333,30.08791667,141.5313376,NA,5,114.4970474,7.078151703,5,NA,5,0,55
3302,-95.73534,30.09397,-95.73375,30.09458333,167.6697275,NA,7,253.4373322,0.018900838,6,NA,6,0,51
3305,-95.50461,30.145095,-95.50375,30.14541667,90.19924082,600,10.5,789.6690674,789.6422119,7,7,7,0,31
3311,107.496605,30.209193,107.4954167,30.20791667,182.3625305,NA,19,296.9039307,0.036340151,6,NA,6,0,377
3312,107.496933,30.2094,107.49625,30.20875,97.73885991,NA,13,296.8078308,296.7653503,6,6,6,0,378
3315,107.502524,30.22353,107.5029167,30.22208333,165.4120867,NA,7,9.313560486,9.115359306,4,4,4,0,386
3320,108.917792,30.298334,108.91875,30.29791667,103.1338988,NA,24,453.4682922,0.022707906,6,NA,6,0,1069
3328,119.604872,30.307174,119.6054167,30.30625,115.4127497,NA,15,86.46456909,0.020705281,5,NA,5,0.014035,145
3332,107.986258,30.3688,107.9879167,30.36791667,187.2116133,NA,23,605.3137817,604.9512329,6,6,6,0,200
3342,115.499696,30.441496,115.50125,30.44125,151.636648,NA,22,158.8656921,0.010092392,5,NA,5,0,42
3362,103.63,30.584,103.63125,30.58375,122.9818592,NA,14,69.30007935,0.007817973,4,NA,4,0.001732,521
3369,110.975796,30.620829,110.9770833,30.62208333,186.2934038,NA,11,179.9965515,0.007968933,5,NA,5,0,289
3370,108.8844,30.633672,108.88375,30.63375,62.86216236,NA,13,303.8488464,274.7572632,6,6,6,0,336
3379,108.602551,30.661617,108.6045833,30.66125,198.8512567,NA,14,62.53065109,0.013835992,5,NA,5,0.084866,312
3380,108.601944,30.661667,108.60375,30.66125,179.0580812,NA,13,62.50440598,62.4111824,5,5,5,0.01738,303
3390,108.090356,30.702219,108.08875,30.70208333,154.4602786,NA,10,36.99337769,0.014278517,4,NA,4,0,482
3391,121.166109,30.710979,121.1645833,30.71125,149.1012097,NA,23.57,21.29891014,21.25014114,5,5,5,0,7
3392,121.273693,30.712383,121.2720833,30.71208333,157.6253898,NA,19.2,5.274410725,0.007382102,4,NA,4,0,8
3393,111.307925,30.726285,111.3079167,30.72791667,181.6380529,NA,12,2.217422485,2.078990459,3,3,3,0,66
3401,111.52,30.758,111.5195833,30.75625,198.8449873,NA,8,118.896553,0.058327008,5,NA,5,0,121
3403,109.260111,30.762778,109.2604167,30.76375,112.0834167,NA,14,123.3941498,123.3157425,5,5,5,0,578
3408,110.962222,30.779722,110.96375,30.78041667,165.3350402,NA,6,61.80790329,61.73939133,4,4,4,0,158
3409,110.962469,30.779862,110.96375,30.78041667,137.1931439,NA,8,61.80790329,61.73939133,4,4,4,0,158
3410,110.79587,30.784028,110.7945833,30.78291667,174.4891003,113,7,311.5970764,9.234021187,6,NA,6,8.66E-04,271
3411,111.256634,30.784232,111.25625,30.78291667,150.9573475,NA,14,128.9006042,0.011437333,5,NA,5,0.011884,150
3412,110.795556,30.784444,110.7945833,30.78291667,193.8050825,NA,8,311.5970764,22.21006584,6,4,6,8.66E-04,271
3419,121.274017,30.801783,121.27375,30.80041667,154.2272574,NA,15,0.070251353,0.00738317,NA,NA,NA,0.00108,3
3420,121.274023,30.801817,121.27375,30.80041667,158.0548834,NA,18,0.070251353,0.00738317,NA,NA,NA,0.00108,3
3421,111.258824,30.802556,111.2604167,30.80291667,157.4885018,NA,18,118.1896591,0.011064881,5,NA,5,0,127
3422,121.142583,30.803533,121.14375,30.80291667,130.9893917,NA,20,0.033044361,0.007375028,NA,NA,NA,8.86E-04,5
3423,121.142645,30.803544,121.1445833,30.80291667,198.0555284,NA,19.5,0.051460307,0.007375028,NA,NA,NA,0,5
3426,111.260047,30.807522,111.26125,30.80708333,124.957529,NA,14,116.6524353,116.3783722,5,5,5,0,127
3429,111.254852,30.814247,111.25625,30.81375,144.6541782,NA,9.47,113.9574509,89.66217041,5,5,5,0,117
3433,111.252778,30.822347,111.25375,30.82208333,97.44563117,NA,8,94.10373688,0.039430551,5,NA,5,0.038969,127
3435,111.253462,30.83071,111.2554167,30.83125,196.2748252,NA,17.96,90.51535034,0.020899449,5,NA,5,0,141
3436,111.247629,30.833806,111.2495833,30.83375,186.9096378,NA,9,25.57493973,0.01542566,4,NA,4,0.010138,163
3437,121.459663,30.834808,121.4579167,30.83541667,180.1492462,NA,23.76,0.05920833,0.007377197,NA,NA,NA,0,6
3438,111.251353,30.836082,111.25125,30.83458333,167.1210515,NA,9,63.79871368,63.64299774,5,5,5,0.040701,150
3439,121.481839,30.837145,121.48375,30.83708333,182.7862204,NA,15.55,0.052359257,0.007373577,NA,NA,NA,0,4
3440,111.258089,30.842566,111.2570833,30.84375,163.1270542,NA,15.62,61.82607269,61.7709198,5,5,5,0,184
3442,111.261839,30.847021,111.2604167,30.84708333,136.1124211,NA,12,61.29771042,0.059423838,5,NA,5,0,176
3443,111.233567,30.847694,111.2345833,30.84708333,118.5577524,NA,9.5,23.4514904,23.10637665,4,4,4,0,283
3447,111.261906,30.848939,111.2620833,30.84791667,115.0606416,NA,15.79,61.12929153,61.04633331,5,5,5,0.038969,181
3448,111.261291,30.849193,111.2620833,30.84791667,161.000129,NA,13,61.12929153,0.035834149,5,NA,5,0.038969,181
3449,121.223164,30.849241,121.2229167,30.84791667,149.3071145,NA,10,0.31694749,0.010489638,1,NA,1,0,3
3450,111.263486,30.850462,111.2620833,30.84958333,165.9433258,NA,12,47.64672089,29.86678886,4,4,4,0.042134,198
3453,112.149076,30.859939,112.1504167,30.86041667,138.7095295,NA,15,130.1729279,0.199919671,5,2,5,0,71
3457,109.406424,30.873049,109.4079167,30.87208333,178.5945329,NA,5,2.853571177,0.037358865,2,NA,2,0.301362,390
3463,116.416411,30.890642,116.4170833,30.88958333,134.21567,NA,9,68.38483429,0.013666001,5,NA,5,0.005196,485
3470,110.6655,30.908333,110.66625,30.90958333,156.5379585,NA,12,165.9776917,0.034737803,5,NA,5,0.016454,189
3471,110.666111,30.909167,110.6654167,30.91041667,154.1102311,248,13,166.5023651,165.9776917,5,5,5,0,193
3472,110.488889,30.9125,110.4879167,30.91375,167.2909181,NA,14,120.1450424,0.028244661,5,NA,5,0,265
3477,110.930863,30.919435,110.9320833,30.91958333,117.7056631,NA,17,137.4917297,0.043378841,5,NA,5,0,178
3479,121.686475,30.932784,121.6845833,30.93208333,196.750324,NA,15.93,0.53974992,0.48646602,1,1,1,0,6
3480,121.686497,30.932784,121.6845833,30.93208333,198.6806601,NA,20,0.53974992,0.48646602,1,1,1,0,6
3483,110.589175,30.936804,110.5904167,30.93625,133.6386584,NA,16,153.1046295,0.034953754,5,NA,5,0.016454,222
3484,110.003926,30.93787,110.0045833,30.93875,116.3424702,325,16,260.7136536,0.027914625,6,NA,6,0,201
3486,121.153594,30.938302,121.1554167,30.93791667,179.2390484,NA,22,0.079654142,0.018397037,1,NA,1,0,6
