site_numeric,site,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
907,ML_II,2717.8228702335778,1401.4925980879125,0,0,-1.3974480271339411
912,Chep_II,2306.57858661859,1230.7426821052727,0,0,-1.3974480271339411
918,KN_I,2306.57858661859,1230.7426821052727,0,0,-1.3974480271339411
938,Ole1,2195.4740616611584,1174.085861689087,0,0,-1.3974480271339411
999,Kinaini river-Aberdares,2615.193243243244,1191.9581081081085,0,0.35980110116399866,-12.370205116271972
1007,A7,1302.83,707.294,0,0.27579983721044726,11.129021215438843
1020,Satima springs-Point D,1901.139361702128,1009.7021276595744,0,0,-12.370205116271972
1021,Satima springs-Point B,1901.139361702128,1009.7021276595744,0,0,-12.370205116271972
1022,Satima springs-Point C,1901.139361702128,1009.7021276595744,0,0,-12.370205116271972
1023,Satima springs-stream 1 A,1901.139361702128,1009.7021276595744,0,0,-12.370205116271972
1024,"Cayambe-Coca, Ecuador",1244.8896907216497,691.4175257731958,0,0,11.129021215438843
1025,cay,1244.8896907216497,691.4175257731958,0,0,11.129021215438843
1026,Gavilan,1244.8896907216497,691.4175257731958,0,0,11.129021215438843
1044,Borges2015_1419,1370.0689953275405,707.5453488728482,0,0.02309761610951172,-25.826844793558127
1045,Nithi tributary-Mt Kenya,1881.0141666666668,847.8625000000002,0,0,-28.68270573616028
1112,Borges2019_109,1730.8575549196023,864.0775248365625,0,0,1.701279699802399
1282,Congo River basin,1983.3691633488213,925.6326945514382,0,33.052635341959466,-38.23486862182616
1316,Congo River basin,2356.908794295178,882.95485398793,0,21.79387365993551,-51.294891738891586
1370,Outlet_Mengong,2258.4720404703166,1000.0160015469633,0,0,16.821445608139033
1391,Kl (tributary of Mbar),2428.7591182544675,942.744951263556,0,2.7703694647805257,-47.5302607536316
1538,Upper Arboleda,2641.037654895348,973.4559015621178,0,7.465382303396867,-0.2170074462890664
1539,Upper Taconazo,2641.037654895348,973.4559015621178,0,7.465382303396867,-0.2170074462890664
1554,Mekong_W4Ê,1625.3697635720591,623.9958267290984,0,20.06508998426274,9.935364651679995
1555,Mekong_W3Ê,1625.3697635720591,623.9958267290984,0,20.06508998426274,9.935364651679995
1639,QG,2842.1800000000007,1149.973103448276,0,2.2536862395538853,2.368044495582581
1640,Q3,2677.054666666667,1124.6746666666666,0,0,2.368044495582581
1654,Houay Pano - S57,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1655,Houay Pano - S46,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1656,Houay Pano - S36,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1657,Houay Pano - S27,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1658,Houay Pano - S20,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1659,Houay Pano - S14,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1660,Houay Pano - S10,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1661,Houay Pano - S1,2537.7008268469312,1191.3378491351552,0,0,-10.844696107506753
1673,Manoa River_midstream,522.9270270270272,343.69459459459466,0,0,-2.37818922996521
1674,Manoa River_upstream,522.9270270270272,343.69459459459466,0,0,-2.37818922996521
1685,hks,1976.073076923077,792.5371794871795,0,0.6898942716269428,233.21768341064453
1861,Ma'an River,2185.871641791045,879.9522388059703,0,1.6001499729284678,-0.3710871219635011
1874,Ganges_W8Ê,1071.540113730986,474.1531286294658,0,4.269313803439878,35.02510986328125
2096,Longchuan River-35,1620.5056603773585,976.4056603773583,0,0,37.039357566833495
2121,Longchuan River-29,1664.8769230769228,998.7153846153848,0,0.18911298625832249,37.039357566833495
2365,W4,1140.8901639344265,747.8409836065573,0,0,35.52699527740479
2366,W5,1140.8901639344265,747.8409836065573,0,0,35.52699527740479
2367,W3,1140.8901639344265,747.8409836065573,0,0,35.52699527740479
2368,W2,1140.8901639344265,747.8409836065573,0,0,35.52699527740479
2369,W1,1140.8901639344265,747.8409836065573,0,0,35.52699527740479
2370,S1-3,1033.5464285714286,684.1410714285714,0,0,35.52699527740479
2445,Tuojia-2,1326.1979381443302,625.1453608247423,0,0,48.70770149230957
2448,Tuojia-1,1525.4032608695652,648.7847826086958,0,0,48.70770149230957
2567,ES1,1270.315463917526,653.9288659793815,0,0,204.4059066772461
2577,y1,1348.1175,693.63625,0,0,204.4059066772461
2585,y2,1347.8124878020533,669.3480810493853,0,0,204.4059066772461
2586,y3,1347.8124878020533,669.3480810493853,0,0,204.4059066772461
2719,Panxi-1,963.1,538.6,0,0.32349444774307756,204.4059066772461
2760,Jiuqu-1,1027.0373941476057,579.1504990670685,0,0.44154312147647423,204.4059066772461
2791,Area II,1156.9956989247312,602.8430107526882,0,0,204.4059066772461
2824,Area II,1070.7983606557375,577.1213114754098,0,0,204.4059066772461
3015,Min-3,1011.5344086021504,617.5548387096775,0,1.3264769027866272,90.05232620239258
3284,Zhongtian-14,1372.4479674796746,657.4203252032521,0,0,187.94784927368164
3303,Zhongtian-13,1372.4479674796746,657.4203252032521,0,0,187.94784927368164
3620,NA,869.0833333333335,462.5180555555556,0,0.3719616499891872,54.84833850860595
3637,Ditches,980.8878787878788,533.1343434343435,0,0.32861171101470044,187.94784927368164
3743,Panola (GA),1273.9345000675708,656.2052578300326,0,0,168.24127273559571
8,dcc,2915.742105263158,1663.5315789473684,0,0,-0.25318549275398256
26,Monaltrie Creek D1,2803.6463794416472,1605.3093735451655,0,0.15395702382325685,-0.9775644779205322
